"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,148296177,29506763
2019,9,148296182,29506764
2019,3,148299213,29512227
2019,20,148297023,29506979
2019,12,148313276,29513016
2019,12,148298839,29512106
2019,12,148298904,29512124
2019,12,148298957,29512148
2019,12,148299205,29512220
2019,22,148299210,29512224
2019,20,148313025,29512950
2019,18,144915847,28386963
2019,12,138978250,26156270
2019,19,138963707,26155270
2019,12,138963720,26155272
2019,10,138963816,26155293
2019,12,138963848,26155301
2019,12,138963851,26155303
2019,12,138964485,26155429
2019,12,138964502,26155436
2019,19,138964507,26155437
2019,12,138964583,26155444
2019,12,138964585,26155445
2019,12,138964626,26155449
2019,12,138964639,26155455
2019,12,138964646,26155459
2019,22,138964745,26155480
2019,9,138964754,26155482
2019,9,138964755,26155483
2019,12,138964885,26155510
2019,3,138964890,26155515
2019,6,138964939,26155526
2019,18,138964941,26155527
2019,12,138964986,26155539
2019,12,138965064,26155555
2019,12,138965613,26155687
2019,9,138965991,26155764
2019,12,138965998,26155767
2019,12,138966003,26155768
2019,20,138966071,26155781
2019,9,138966072,26155783
2019,22,138966072,26155782
2019,12,138966077,26155784
2019,12,138966107,26155791
2019,12,138976212,26155811
2019,12,138976260,26155827
2019,20,138976283,26155834
2019,12,138976360,26155866
2019,12,138976362,26155868
2019,12,138976363,26155869
2019,12,138976741,26155954
2019,12,138978326,26156283
2019,12,138978337,26156291
2019,18,138978368,26156298
2019,12,138978714,26156364
2019,12,138978855,26156398
2019,3,138979028,26156426
2019,18,138979201,26156464
2019,12,138979201,26156463
2019,9,139081251,26188120
2019,19,139248330,26213597
2019,5,139081183,26188113
2019,3,139197603,26195749
2019,3,139042911,26175845
2019,3,139042933,26175850
2019,4,139044052,26176170
2019,12,139042949,26175858
2019,20,139043610,26176070
2019,12,139043064,26175894
2019,20,139043241,26175952
2019,10,139043139,26175920
2019,3,139043206,26175943
2019,12,139043243,26175954
2019,12,139043257,26175957
2019,12,139043722,26176096
2019,18,139043772,26176112
2019,20,139043803,26176115
2019,18,139043881,26176135
2019,12,139043887,26176136
2019,12,139044051,26176169
2019,19,139044088,26176177
2019,20,139091663,26189247
2019,12,137878682,25839842
2019,12,137879001,25835889
2019,3,137882945,25835914
2019,12,137882964,25839912
2019,20,141104677,27261488
2019,3,142549057,27676116
2019,20,142549061,27676117
2019,9,142549232,27676176
2019,12,142549079,27676127
2019,18,142549201,27676168
2019,18,142549245,27676179
2019,3,142549509,27676242
2019,12,142549562,27676248
2019,9,142549563,27676249
2019,12,138964886,26155511
2019,9,138964888,26155513
2019,18,141390088,27366961
2019,3,141399305,27367630
2019,18,137881901,25842597
2019,19,137878237,25839780
2019,9,137882180,25835798
2019,20,137878782,25839855
2019,12,137886306,25839863
2019,12,137879593,25842793
2019,4,137879665,25842806
2019,12,137883550,25842811
2019,12,137880074,25836062
2019,18,137880191,25840100
2019,12,137883936,25836083
2019,18,137887345,25842864
2019,12,137884029,25836101
2019,20,137884216,25836120
2019,20,137887547,25840141
2019,18,137887584,25842895
2019,18,137880608,25840151
2019,12,137887626,25842898
2019,9,137880722,25836159
2019,12,137884568,25842908
2019,19,137880791,25840179
2019,3,137884785,25836199
2019,20,137881074,25840216
2019,12,137891279,25836244
2019,12,137885298,25840287
2019,12,137891614,25836282
2019,19,137891662,25840300
2019,12,137888303,25842984
2019,12,137891781,25836298
2019,19,137891978,25843005
2019,12,137891980,25836315
2019,20,137885698,25836322
2019,20,137885769,25840365
2019,20,137888586,25843023
2019,20,137888639,25840384
2019,20,137888673,25843037
2019,12,141227976,27295347
2019,12,141407729,27369742
2019,12,141411399,27370636
2019,12,137878134,25835757
2019,12,137878247,25835779
2019,9,137882129,25835792
2019,9,137876135,25842647
2019,12,137886197,25842654
2019,10,137886517,25842709
2019,18,139300028,26224849
2019,12,139300331,26224888
2019,12,139300352,26224898
2019,20,149036295,29719509
2019,12,141203344,27293228
2019,12,141205617,27293732
2019,12,141227773,27295295
2019,12,141278722,27331407
2019,12,141279012,27331474
2019,3,141280600,27331930
2019,12,141279181,27331515
2019,12,149036455,29719529
2019,19,141358350,27334755
2019,12,141232982,27296402
2019,20,141358202,27334704
2019,12,149036514,29719544
2019,12,141234590,27296733
2019,12,143948702,28122653
2019,20,149036814,29719612
2019,3,149036816,29719613
2019,22,149036817,29719614
2019,12,141480544,27421767
2019,12,139043720,26176094
2019,12,139043721,26176095
2019,20,139091771,26189277
2019,12,141205565,27293709
2019,12,141205584,27293724
2019,12,141205777,27293776
2019,3,141441491,27381873
2019,18,141424938,27372452
2019,20,141466243,27396772
2019,12,141441495,27381879
2019,3,141466215,27396767
2019,12,141436183,27376764
2019,12,141441491,27381874
2019,3,141441502,27381884
2019,10,141466440,27401791
2019,12,141466389,27401779
2019,12,139558850,26323348
2019,2,143461915,27991994
2019,18,143461204,27991770
2019,12,143461224,27991778
2019,12,143461277,27991791
2019,12,141466219,27396768
2019,12,141476893,27411934
2019,12,141268954,27329372
2019,9,141279216,27331532
2019,12,141279402,27331614
2019,20,141425307,27372590
2019,12,141425018,27372490
2019,20,141425046,27372503
2019,12,141425059,27372508
2019,20,141425685,27372702
2019,21,141425686,27372703
2019,20,141425861,27372734
2019,9,141425905,27372743
2019,20,141425933,27372747
2019,9,141441501,27381883
2019,12,141466178,27396762
2019,12,141916993,27521875
2019,19,141278553,27331355
2019,9,141280502,27331910
2019,18,141279164,27331510
2019,12,141280512,27331915
2019,3,141358147,27334678
2019,20,141280485,27331898
2019,10,141390193,27366973
2019,12,141390429,27367029
2019,12,141411681,27370692
2019,12,141411682,27370693
2019,12,141639301,27445339
2019,10,141088579,27269642
2019,9,141278530,27331341
2019,20,141278550,27331352
2019,9,141279176,27331513
2019,22,141280396,27331887
2019,20,141277435,27331102
2019,20,141278621,27331387
2019,12,141358687,27334833
2019,22,141280327,27331870
2019,12,141358006,27334603
2019,12,141358012,27334605
2019,12,141479688,27417273
2019,20,141358067,27334634
2019,12,141358183,27334694
2019,10,141358185,27334695
2019,12,139299883,26224825
2019,12,139299887,26224826
2019,9,139299993,26224842
2019,20,142549240,27676178
2019,12,144111087,28167471
2019,6,144111091,28167472
2019,12,144121490,28167552
2019,19,142549035,27676113
2019,19,142549087,27676129
2019,20,142549103,27676132
2019,12,142549205,27676170
2019,12,142549133,27676141
2019,12,142549162,27676151
2019,20,142549426,27676233
2019,5,142549209,27676171
2019,18,142549427,27676234
2019,20,142549553,27676246
2019,9,142549554,27676247
2019,12,142549601,27676253
2019,9,144121947,28167679
2019,12,144121960,28167684
2019,12,144121973,28167690
2019,12,144122053,28167704
2019,12,144122432,28167811
2019,12,144122434,28167813
2019,19,144122451,28167820
2019,11,143060526,27845168
2019,20,141425978,27372760
2019,12,141425058,27372507
2019,12,141476885,27411929
2019,22,141441489,27381871
2019,10,141425546,27372677
2019,18,141425527,27372671
2019,20,141425529,27372672
2019,20,141425698,27372705
2019,20,141425977,27372759
2019,12,141441207,27381776
2019,20,141441200,27381773
2019,12,141441203,27381775
2019,20,141441303,27381806
2019,20,141441353,27381817
2019,3,141441490,27381872
2019,9,141441493,27381876
2019,3,141466336,27396804
2019,12,143074124,27846023
2019,12,144156576,28169904
2019,12,144156577,28169905
2019,12,141974321,27532544
2019,12,141976006,27532955
2019,12,141358734,27334841
2019,12,141234351,27296683
2019,12,141374778,27335982
2019,12,141424978,27372470
2019,20,141400103,27367797
2019,3,141399412,27367650
2019,18,141411156,27370549
2019,18,141411157,27370550
2019,12,141411159,27370551
2019,20,141411200,27370562
2019,12,141411202,27370563
2019,12,141087624,27269442
2019,19,141093839,27260101
2019,12,142975527,27823593
2019,20,141178301,27292532
2019,12,141204812,27293552
2019,12,141205068,27293595
2019,12,141268951,27329369
2019,10,142975928,27823694
2019,12,138816756,26119866
2019,12,138816870,26119901
2019,17,138816870,26119902
2019,12,138979890,26156558
2019,12,138964089,26155351
2019,12,138963752,26155278
2019,2,138963761,26155281
2019,2,138963759,26155280
2019,12,138963766,26155282
2019,12,138963783,26155285
2019,19,138963785,26155287
2019,9,138963793,26155290
2019,3,138963852,26155304
2019,19,138963887,26155312
2019,6,138963889,26155313
2019,12,138964067,26155346
2019,12,138964088,26155350
2019,20,138964314,26155402
2019,3,138964207,26155376
2019,12,138964208,26155377
2019,12,138964211,26155379
2019,12,138964260,26155387
2019,9,138964285,26155397
2019,12,138964289,26155398
2019,10,138964328,26155403
2019,12,138964342,26155405
2019,9,138964345,26155406
2019,18,138965091,26155557
2019,12,138965102,26155559
2019,6,138965103,26155560
2019,12,138965105,26155561
2019,12,138965121,26155567
2019,18,138965199,26155580
