"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,125310621,1,
2019,125312453,6,
2019,125323768,6,
2019,129373540,10,
2019,129448805,1,
2019,127441531,10,
2019,127367122,9,
2019,127546047,6,
2019,127560422,1,
2019,127560421,1,
2019,128454527,1,
2019,128860660,6,
2019,128872961,1,
2019,128873124,10,
2019,128873013,6,
2019,131392896,6,
2019,132775029,6,
2019,130051643,6,
2019,134568396,10,
2019,133489421,9,
2019,133365321,9,
2019,133163505,1,
2019,134701799,6,
2019,126888437,10,
2019,125475829,6,
2019,125477428,1,
2019,125316560,10,
2019,125242066,6,
2019,133725363,6,
2019,125316118,8,
2019,125476704,1,
2019,125476704,6,
2019,128711293,6,
2019,125475745,6,
2019,125476563,1,
2019,125490222,9,
2019,125491859,6,
2019,125319295,10,
2019,125306441,6,
2019,125320043,10,
2019,128458225,9,
2019,125315507,9,
2019,125315843,1,
2019,125476713,10,
2019,125477524,6,
2019,127296726,9,
2019,124391485,1,
2019,124400646,1,
2019,124404761,9,
2019,124399592,1,
2019,124390188,1,
2019,128665991,10,
2019,135306204,4,
2019,128597604,8,
2019,129584390,1,
2019,125310889,1,
2019,129097101,1,
2019,130767718,2,
2019,129264620,1,
2019,129264054,9,
2019,129376820,8,
2019,127578177,6,
2019,128468603,1,
2019,127498883,6,
2019,128597653,6,
2019,128423406,10,
2019,128666028,1,
2019,128531245,6,
2019,128860615,1,
2019,128710222,9,
2019,128756839,1,
2019,128709832,10,
2019,131149602,6,
2019,132770368,1,
2019,133743361,6,
2019,133342973,6,
2019,133342974,1,
2019,134568395,10,
2019,133211295,6,
2019,129113072,6,
2019,125315271,9,
2019,125328399,1,
2019,125476953,1,
2019,125477525,6,
2019,125316561,1,
2019,128710502,1,
2019,126594056,9,
2019,125490966,1,
2019,125476889,1,
2019,125554146,10,
2019,125319909,10,
2019,125316593,10,
2019,125328621,10,
2019,125476415,10,
2019,125490828,6,
2019,125476790,1,
2019,125490228,9,
2019,125476937,1,
2019,125554511,10,
2019,124394457,1,
2019,124403453,9,
2019,128665990,9,
2019,124394054,2,
2019,128665812,10,
2019,116716898,9,
2019,135466039,1,
2019,126058137,9,
2019,125310877,1,
2019,125311185,9,
2019,125324913,1,
2019,125326103,1,
2019,125311677,10,
2019,125283249,10,
2019,125283956,6,
2019,125310080,1,
2019,125296278,6,
2019,130908488,9,
2019,130253493,1,
2019,129264055,9,
2019,129373788,10,
2019,129448378,10,
2019,129448563,10,
2019,127578176,1,
2019,128454544,16,
2019,128423333,1,
2019,127396167,1,
2019,127440071,10,
2019,129416698,6,
2019,128860560,6,
2019,128860516,1,
2019,131149591,1,
2019,132799882,6,
2019,132799883,1,
2019,133342943,1,
2019,133747812,6,
2019,131300230,9,
2019,132660428,6,
2019,133163478,10,
2019,133709894,6,
2019,135008241,10,
2019,126943268,9,
2019,125315717,10,
2019,125328283,10,
2019,126710467,10,
2019,125490350,10,
2019,125314770,1,
2019,125475711,10,
2019,125318118,1,
2019,125318540,10,
2019,125307194,6,
2019,125307551,10,
2019,125315578,6,
2019,125488135,1,
2019,125475873,6,
2019,125476113,10,
2019,125491393,6,
2019,125554210,10,
2019,125554211,10,
2019,134523702,9,
2019,124403142,1,
2019,124398737,1,
2019,127280046,10,
2019,124392358,1,
2019,128665986,9,
2019,126197929,10,
2019,129182361,10,
2019,125749618,1,
2019,126235756,10,
2019,130057097,6,
2019,128454273,1,
2019,125253086,6,
2019,125311660,9,
2019,125312070,10,
2019,130239187,9,
2019,125325562,10,
2019,125325849,6,
2019,133163473,4,
2019,125326737,6,
2019,130683175,10,
2019,131334254,10,
2019,129263920,1,
2019,129263902,6,
2019,129264057,9,
2019,129377301,10,
2019,130250815,6,
2019,129376821,8,
2019,129583002,9,
2019,127499032,10,
2019,128531305,6,
2019,127559556,6,
2019,127498743,9,
2019,128454720,1,
2019,128908460,9,
2019,128710523,6,
2019,128873123,10,
2019,132660420,6,
2019,133489291,10,
2019,133489283,1,
2019,130051807,6,
2019,134701800,6,
2019,135008047,6,
2019,126888438,10,
2019,125328307,10,
2019,125488364,1,
2019,125490822,1,
2019,125314769,1,
2019,126911168,6,
2019,125553982,10,
2019,128711296,6,
2019,125554145,10,
2019,125490221,9,
2019,125694672,10,
2019,125319906,1,
2019,125307726,1,
2019,125306937,2,
2019,125317973,6,
2019,125300539,1,
2019,125476747,6,
2019,125328094,1,
2019,125476116,10,
2019,125492677,10,
2019,129641952,1,
2019,134179143,6,
2019,134179253,6,
2019,127262567,10,
2019,124395609,9,
2019,124400815,1,
2019,124391854,9,
2019,124400948,9,
2019,124397867,9,
2019,125749619,1,
2019,128860377,10,
2019,130057240,6,
2019,129640010,6,
2019,124395358,1,
2019,125283484,1,
2019,125253073,1,
2019,125323504,6,
2019,125324491,10,
2019,135465388,6,
2019,130774075,6,
2019,125242111,6,
2019,129377032,9,
2019,130057125,6,
2019,127498661,1,
2019,127560320,6,
2019,128709757,6,
2019,128860619,6,
2019,128873329,1,
2019,131392917,1,
2019,134568331,10,
2019,135008046,6,
2019,132652152,9,
2019,133163515,1,
2019,133489310,10,
2019,129097845,10,
2019,125488375,1,
2019,125475942,6,
2019,130522405,2,
2019,126696687,10,
2019,125554144,10,
2019,125694677,10,
2019,125488759,9,
2019,125315762,1,
2019,125317003,3,
2019,125317570,10,
2019,125169517,6,
2019,125491395,9,
2019,125554209,10,
2019,125554203,10,
2019,127296725,9,
2019,134179141,1,
2019,134568282,1,
2019,133765680,6,
2019,134568351,6,
2019,124397866,9,
2019,124404283,9,
2019,124396677,1,
2019,126197930,9,
2019,135465058,1,
2019,135473059,10,
2019,125553847,1,
2019,125553847,9,
2019,129584440,6,
2019,116700592,1,
2019,126132549,1,
2019,125310939,2,
2019,125311273,1,
2019,125323313,1,
2019,132799840,6,
2019,125311676,10,
2019,130683044,1,
2019,130683044,6,
2019,130684890,9,
2019,130773739,1,
2019,130767565,10,
2019,130276634,10,
2019,130250486,1,
2019,129376989,6,
2019,127525275,1,
2019,127560029,1,
2019,128454719,1,
2019,127441341,1,
2019,128860661,6,
2019,128872944,6,
2019,131300181,1,
2019,131300181,6,
2019,133743366,1,
2019,133163467,8,
2019,129097844,1,
2019,125278105,6,
2019,125505121,10,
2019,125490341,10,
2019,126225427,10,
2019,126880043,6,
2019,125487924,10,
2019,125694673,10,
2019,125505128,10,
2019,131482086,9,
2019,125318971,9,
2019,125307153,9,
2019,125307353,6,
2019,125316218,10,
2019,125317773,9,
2019,125317467,1,
2019,130057159,10,
2019,125476860,8,
2019,125492241,1,
2019,125554208,10,
2019,125554204,10,
2019,127296724,9,
2019,133730297,1,
2019,134523899,6,
2019,124398367,1,
2019,128665955,1,
2019,127280039,10,
2019,128597601,3,
2019,135466664,10,
2019,135466922,6,
2019,135465211,10,
2019,128860376,10,
2019,133342999,6,
2019,133342999,1,
2019,125310786,1,
2019,125310940,2,
2019,125312056,1,
2019,125311675,10,
2019,133163474,4,
2019,130239573,8,
2019,131334253,10,
2019,126132491,1,
2019,129264053,1,
2019,130067525,1,
2019,129448562,10,
2019,129448564,10,
2019,129448804,1,
2019,127559917,6,
2019,127578175,6,
2019,127498865,10,
2019,127560028,1,
2019,128457661,9,
2019,128423391,2,
2019,128709760,6,
2019,128860667,6,
2019,132775164,9,
2019,133489294,9,
2019,134568397,1,
2019,130683023,9,
2019,130683023,6,
2019,128454444,1,
2019,128339310,1,
2019,125476834,1,
2019,125487978,9,
2019,125242091,6,
2019,125318334,6,
2019,125317984,10,
2019,125319310,1,
2019,125307138,1,
2019,125315842,1,
2019,125488126,10,
2019,125554206,10,
2019,127296723,9,
2019,127732312,10,
2019,124391683,1,
2019,124390880,10,
2019,124390464,1,
2019,124397012,9,
2019,124397868,9,
2019,128665989,9,
2019,128665988,9,
2019,129578298,1,
2019,125169587,10,
2019,116716860,6,
2019,135466034,1,
2019,129263623,1,
2019,129636085,1,
2019,130522403,6,
2019,124399351,2,
2019,124399350,2,
2019,125310878,1,
2019,125310890,1,
2019,125283361,10,
2019,133163582,9,
2019,130302294,10,
2019,130683036,6,
2019,130683036,1,
2019,130773743,6,
2019,130684861,9,
2019,131300448,6,
2019,131482100,5,
2019,129452735,1,
2019,129376985,6,
2019,127560107,9,
2019,130057126,1,
2019,127578174,1,
2019,127344987,1,
2019,128873154,6,
2019,128873251,10,
2019,128873001,6,
2019,128710302,1,
2019,132770365,10,
2019,133343272,6,
2019,133747623,1,
2019,133343268,6,
2019,131334602,1,
2019,133709823,6,
2019,133343003,10,
2019,125326740,9,
2019,125326536,2,
2019,133211091,6,
2019,125315272,9,
2019,125315715,10,
2019,130051893,6,
2019,126853080,9,
2019,130051664,9,
2019,125553983,10,
2019,125488006,6,
2019,125554147,10,
2019,125492238,10,
2019,125316217,10,
2019,125300591,1,
2019,125477523,6,
2019,125476862,8,
