"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,124402910,137880636
2019,124402908,137880636
2019,124402909,137880636
2019,124402939,137884442
2019,124402981,137887679
2019,124396643,137884511
2019,124403015,137887707
2019,124396679,137884538
2019,124403032,137884554
2019,124399775,137884597
2019,124399820,137880860
2019,124399819,137880860
2019,124399820,137880859
2019,124396788,137880862
2019,124403148,137884673
2019,124403144,137880871
2019,124403144,137884670
2019,124403157,137880883
2019,124403159,137887773
2019,124396814,137880893
2019,124396828,137880905
2019,124396831,137884702
2019,124403194,137880926
2019,124396853,137884717
2019,124403204,137880935
2019,124403223,137887800
2019,124403226,137880961
2019,124396880,137880962
2019,124403234,137880972
2019,124403234,137884754
2019,124403246,137884765
2019,124403252,137884772
2019,124399883,137887837
2019,124403280,137881009
2019,124403285,137881012
2019,124403285,137884819
2019,124403292,137884829
2019,124403294,137884832
2019,124403298,137884837
2019,124403305,137881030
2019,124396968,137884848
2019,124396968,137884849
2019,124403312,137881038
2019,124403317,137881041
2019,124396990,137881045
2019,124403323,137881045
2019,124396999,137881056
2019,124403331,137881056
2019,124397008,137884889
2019,124403346,137884901
2019,124403349,137884907
2019,124397029,137881071
2019,124403358,137881078
2019,124399917,137884924
2019,124403394,137884966
2019,124399924,137881124
2019,124397090,137887878
2019,124397092,137884973
2019,124403416,137884989
2019,124403421,137884993
2019,124403425,137891153
2019,124403427,137891155
2019,124403433,137891168
2019,124403433,137884997
2019,124397124,137891170
2019,124403462,137887902
2019,124403462,137887903
2019,124399953,137885026
2019,124399953,137885025
2019,124399953,137885027
2019,124403481,137885038
2019,124397170,137885038
2019,124399975,137887935
2019,124397191,137887942
2019,124397203,137891266
2019,124403536,137885078
2019,124403540,137891277
2019,124400000,137885083
2019,124397225,137887968
2019,124403561,137891304
2019,124403571,137891314
2019,124397248,137887983
2019,124397248,137887982
2019,124403591,137891337
2019,124403597,137891340
2019,124397265,137885136
2019,124403611,137887992
2019,124403613,137885146
2019,124403613,137887993
2019,124400056,137885152
2019,124397275,137891365
2019,124397274,137891365
2019,124403627,137885161
2019,124397282,137891375
2019,124403645,137891388
2019,124403654,137888017
2019,124403660,137885178
2019,124397297,137885178
2019,124403658,137885178
2019,124397296,137885178
2019,124400078,137885178
2019,124400090,137891406
2019,124403687,137885196
2019,124403690,137891426
2019,124397319,137885205
2019,124403713,137885224
2019,124403715,137885225
2019,124403719,137885228
2019,124397347,137891466
2019,124403738,137891480
2019,124403741,137885246
2019,124397367,137885258
2019,124403754,137885261
2019,124397385,137885269
2019,124403762,137891518
2019,124403766,137891522
2019,124403772,137891528
2019,124397403,137885290
2019,124397406,137888098
2019,124403790,137888107
2019,124403788,137891552
2019,124403793,137885308
2019,124403797,137885311
2019,124403801,137885315
2019,124403803,137885316
2019,124397438,137885317
2019,124397440,137885316
2019,124397441,137885318
2019,124400223,137885346
2019,124403833,137891602
2019,124397480,137885354
2019,124397484,137888168
2019,124397499,137885378
2019,124403874,137885392
2019,124397520,137891642
2019,124397544,137891664
2019,124397544,137885422
2019,124397556,137891672
2019,124397556,137891670
2019,124397560,137885434
2019,124397560,137885435
2019,124397568,137888252
2019,124403917,137891691
2019,124403917,137888252
2019,124397568,137891691
2019,124400335,137885441
2019,124400338,137891698
2019,124403933,137888265
2019,124403943,137891710
2019,124403954,137891717
2019,124397601,137885473
2019,124397605,137891721
2019,124400351,137885482
2019,124397616,137888294
2019,124403994,137891755
2019,124403995,137891755
2019,124400369,137891755
2019,124404008,137885507
2019,124404009,137885507
2019,124404015,137885516
2019,124404015,137885515
2019,124400399,137891788
2019,124397644,137885526
2019,124397654,137885532
2019,124397658,137885539
2019,124397662,137888332
2019,124400421,137885546
2019,124404037,137891820
2019,124400424,137885548
2019,124400440,137891843
2019,124400440,137891845
2019,124404057,137888359
2019,124397690,137885566
2019,124404078,137891855
2019,124404078,137888363
2019,124404085,137891862
2019,124404085,137891863
2019,124397712,137891871
2019,124397717,137885583
2019,124397726,137888396
2019,124404134,137891915
2019,124400491,137888419
2019,124404148,137891937
2019,124404158,137888432
2019,124404159,137891946
2019,124397767,137885624
2019,124404168,137885628
2019,124397772,137891957
2019,124400530,137888445
2019,124404186,137885646
2019,124404186,137885645
2019,124404192,137888447
2019,124404193,137891983
2019,124404197,137888449
2019,124404200,137885658
2019,124404206,137891996
2019,124404219,137888467
2019,124400555,137888471
2019,124400568,137885694
2019,124400568,137885695
2019,124404240,137892031
2019,124397832,137892032
2019,124397832,137892031
2019,124404240,137892032
2019,124397838,137885703
2019,124400601,137892067
2019,124404279,137888523
2019,124397870,137888529
2019,124404296,137888541
2019,124404308,137888549
2019,124407885,137888549
2019,124400635,137892104
2019,124404312,137888556
2019,124404320,137888566
2019,124404330,137885768
2019,124407903,137885767
2019,124407909,137892128
2019,124400663,137885776
2019,124407913,137885778
2019,124400665,137888580
2019,124400670,137888585
2019,124404348,137892148
2019,124404353,137888593
2019,124407940,137888604
2019,124400699,137892170
2019,124400698,137892170
2019,124400698,137892173
2019,124400707,137888617
2019,124404388,137888636
2019,124404393,137892191
2019,124407960,137892191
2019,124404399,137892202
2019,124404407,137885818
2019,124407966,137885818
2019,124407964,137885818
2019,124404402,137885818
2019,124407965,137885820
2019,124404416,137892212
2019,124404421,137892219
2019,124404421,137892220
2019,124404433,137892229
2019,124404442,137892239
2019,124404449,137885840
2019,124404450,137888664
2019,124404458,137888671
2019,124407994,137892256
2019,124407996,137888677
2019,124404468,137892261
2019,124404471,137892267
2019,124408006,137888683
2019,124408006,137892270
2019,124408010,137888689
2019,124400766,137885865
2019,124404485,137892277
2019,124404486,137892277
2019,124408016,137885869
2019,124404490,137885869
2019,124408026,137885880
2019,124404497,137892289
2019,124400777,137892292
2019,124408041,137892301
2019,124408041,137885893
2019,124404517,137892304
2019,124400781,137885897
2019,124404523,137892313
2019,124404523,137892312
2019,124404522,137892314
2019,124400793,137892324
2019,124404538,137892335
2019,124404543,137892341
2019,124404542,137892340
2019,124404547,137892348
2019,124408077,137885922
2019,124404562,137892358
2019,124404561,137885931
2019,124404574,137892377
2019,124404611,137892418
2019,124404613,137892417
2019,124400848,137888760
2019,124400848,137892421
2019,124408120,137885971
2019,124404616,137885971
2019,124408125,137888765
2019,124404626,137885979
2019,124404626,137885980
2019,124404640,137885988
2019,124404642,137892434
2019,124404642,137892435
2019,124404661,137892456
2019,124408146,137892462
2019,124400862,137892469
2019,124408161,137886021
2019,124391024,137886211
2019,124394608,137878699
2019,124394609,137878699
2019,124391039,137878699
2019,124394613,137882556
2019,124391047,137882562
2019,124394626,137878711
2019,124394669,137886246
2019,124391086,137882609
2019,124391092,137878771
2019,124391114,137878794
2019,124391124,137882639
2019,124394739,137886301
2019,124394751,137878861
2019,124394783,137882725
2019,124391217,137878891
2019,124391216,137878892
2019,124391234,137878908
2019,124398462,137882752
2019,124391234,137882752
2019,124391233,137882752
2019,124391233,137878908
2019,124394816,137886350
2019,124394829,137882764
2019,124391274,137882772
2019,124391281,137878954
2019,124394841,137886372
2019,124398493,137886375
2019,124394898,137886403
2019,124394900,137882833
2019,124394918,137879023
2019,124394923,137886418
2019,124394938,137879051
2019,124394987,137879097
2019,124398628,137886527
2019,124395063,137879180
2019,124391531,137879203
2019,124395117,137879229
2019,124395117,137879230
2019,124391580,137883088
2019,124398810,137879387
2019,124391748,137879432
2019,124391754,137879438
2019,124395398,137886786
2019,124391811,137883357
2019,124395423,137879495
2019,124391884,137883426
2019,124391888,137883433
2019,124391893,137886848
2019,124399316,137887268
2019,124399315,137887268
2019,124396077,137880183
2019,124392502,137880221
2019,124392502,137880220
2019,124392509,137880229
2019,124392510,137880229
2019,124396147,137880261
2019,124392536,137883990
2019,124399443,137887403
2019,124399443,137884004
2019,124399443,137884005
2019,124399444,137884004
2019,124399512,137884110
2019,124392703,137880446
2019,124392707,137880449
2019,124392804,137880541
2019,124399665,137884369
2019,124396519,137880578
2019,124396525,137887618
2019,124396533,137880604
2019,124396586,137884451
2019,124396586,137884450
2019,124402961,137880675
2019,124402969,137880681
2019,124402970,137887674
2019,124396625,137887682
2019,124396625,137880690
2019,124403005,137887703
2019,124403030,137884551
2019,124403064,137887725
2019,124403063,137887724
2019,124403076,137880801
2019,124396734,137880810
2019,124403098,137887747
2019,124403111,137880830
2019,124399817,137887756
2019,124403139,137880863
2019,124403154,137884677
2019,124396809,137884683
2019,124396813,137880892
2019,124403169,137887776
2019,124403191,137887783
2019,124403208,137884722
2019,124403216,137880946
2019,124396899,137884764
2019,124403250,137887815
2019,124396903,137880989
2019,124403269,137881004
2019,124403269,137881003
2019,124403291,137884828
2019,124396967,137881031
2019,124403324,137884871
2019,124399912,137884913
2019,124399913,137884913
2019,124397043,137884929
2019,124403364,137881087
2019,124397084,137881121
2019,124403422,137884994
2019,124403434,137885000
2019,124397133,137885006
2019,124397142,137891189
2019,124403488,137891221
2019,124399966,137891222
2019,124397195,137891253
2019,124403525,137885070
2019,124397209,137887951
2019,124403556,137891297
2019,124403560,137891301
2019,124403560,137891299
2019,124403582,137891325
2019,124397249,137885117
2019,124403602,137891345
2019,124403648,137885170
2019,124397294,137885174
2019,124403667,137891400
2019,124400087,137888032
2019,124397307,137891415
2019,124397311,137891419
