"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,143564520
2019,4,143564804
2019,4,143564663
2019,4,143564680
2019,4,143564686
2019,4,143564829
2019,4,143564830
2019,4,140668585
2019,4,140668588
2019,4,140668800
2019,4,140668802
2019,4,140668803
2019,4,140668943
2019,4,140668945
2019,3,143973165
2019,1,143989522
2019,1,143989521
2019,4,144129433
2019,4,144129453
2019,4,144129459
2019,4,144129475
2019,4,144129476
2019,3,143563457
2019,3,143563458
2019,3,143563681
2019,4,141956279
2019,4,141956280
2019,3,141956399
2019,4,140584783
2019,3,143521672
2019,4,140584868
2019,4,140584855
2019,4,140584867
2019,4,143521676
2019,4,140668676
2019,4,140668580
2019,4,143522997
2019,4,143521712
2019,4,140668675
2019,4,140668705
2019,3,143521713
2019,4,143521714
2019,4,143521774
2019,4,140668928
2019,4,143521833
2019,4,143521837
2019,4,143521838
2019,4,143521839
2019,4,143521887
2019,4,143521888
2019,4,143521889
2019,4,143521967
2019,4,143522632
2019,4,143522151
2019,4,143524512
2019,4,143522153
2019,4,143522154
2019,4,143522155
2019,4,143522176
2019,4,143522203
2019,4,143522202
2019,4,143522204
2019,4,143522205
2019,4,143522231
2019,3,143522232
2019,4,143522233
2019,4,143522234
2019,3,143522235
2019,4,143522236
2019,4,143522237
2019,4,143522238
2019,4,143522239
2019,4,143522240
2019,4,143522266
2019,4,143522267
2019,4,143522304
2019,4,143524782
2019,4,143524516
2019,4,143522746
2019,4,143523041
2019,4,143522886
2019,4,143522885
2019,4,143523071
2019,4,143523072
2019,4,143524361
2019,3,143524506
2019,3,143524505
2019,4,143524518
2019,4,143524519
2019,4,143524520
2019,4,143524525
2019,4,143524526
2019,4,143524527
2019,4,143524528
2019,4,143524529
2019,4,143524673
2019,4,143524696
2019,4,143533320
2019,4,143533903
2019,4,143533321
2019,4,143533319
2019,4,143524850
2019,4,143525085
2019,4,143533342
2019,4,143524876
2019,4,143533375
2019,4,143524912
2019,4,143533376
2019,3,143525007
2019,3,143525009
2019,3,143525008
2019,4,143525011
2019,4,143525012
2019,3,143525018
2019,3,143525021
2019,4,143525023
2019,4,143525025
2019,4,143525032
2019,4,143525084
2019,4,143525089
2019,4,143525102
2019,3,143525103
2019,3,143525104
2019,4,143525106
2019,4,143525110
2019,4,143525114
2019,4,143525118
2019,4,143525184
2019,1,143525188
2019,4,143533457
2019,4,143533464
2019,4,143533467
2019,4,143533468
2019,4,143533955
2019,4,144129078
2019,4,144127991
2019,4,144128067
2019,4,144128136
2019,4,144128194
2019,3,144128508
2019,3,144128513
2019,3,144128514
2019,4,144128553
2019,4,144128528
2019,4,144128532
2019,4,144128582
2019,4,144128556
2019,4,144128587
2019,1,144128583
2019,4,144128797
2019,4,144128806
2019,4,144128810
2019,3,144128940
2019,3,144128941
2019,3,144128947
2019,3,144128946
2019,4,144129125
2019,4,144129194
2019,4,144129198
2019,4,144129232
2019,4,144129345
2019,4,144129441
2019,4,144129470
2019,4,144129471
2019,4,144153842
2019,4,144153853
2019,4,141475892
2019,4,141475893
2019,4,143562643
2019,4,143564565
2019,4,143564702
2019,4,143564836
2019,4,143563148
2019,4,143564722
2019,4,143564835
2019,1,143564838
2019,4,143564916
2019,4,143581611
2019,4,143581617
2019,4,143581642
2019,4,143563536
2019,4,144113472
2019,4,144293228
2019,4,144293263
2019,4,144293268
2019,4,144293275
2019,4,144293277
2019,4,144293280
2019,4,144293282
2019,4,144293284
2019,4,144293288
2019,4,144293291
2019,4,144293295
2019,4,144293303
2019,4,144293302
2019,4,144293308
2019,4,144293310
2019,4,144293315
2019,4,144293316
2019,4,144293318
2019,4,144293323
2019,4,144293325
2019,4,144293326
2019,4,144293329
2019,4,144293332
2019,4,144293337
2019,4,144293336
2019,4,144293340
2019,4,144293342
2019,4,144293347
2019,4,144293349
2019,4,144293350
2019,4,144293352
2019,4,144293409
2019,4,144293412
2019,4,144293470
2019,4,144293502
2019,4,144293506
2019,4,144293508
2019,4,144293511
2019,4,144293515
2019,4,144293519
2019,4,144293522
2019,4,144293526
2019,4,144293530
2019,4,144293532
2019,4,144293535
2019,4,144293536
2019,4,144293540
2019,4,144293544
2019,4,144293708
2019,4,144293712
2019,4,144293714
2019,4,144293719
2019,4,144293720
2019,4,144293754
2019,4,144293764
2019,4,144293780
2019,4,144293852
2019,4,144293853
2019,4,144293854
2019,4,144293855
2019,1,144293862
2019,1,144293861
2019,1,144293863
2019,4,144293866
2019,4,144293865
2019,4,144293868
2019,4,144293870
2019,4,144293878
2019,4,144293879
2019,4,144293881
2019,4,144293882
2019,4,144293919
2019,3,144293923
2019,4,144293964
2019,4,144293965
2019,4,144293968
2019,4,144293969
2019,4,144293972
2019,4,144293971
2019,4,144293978
2019,2,144293982
2019,4,144293983
2019,4,144294035
2019,4,144294101
2019,4,144294113
2019,4,144294114
2019,4,144294122
2019,4,144294124
2019,4,144294126
2019,4,144294129
2019,4,144294132
2019,4,144294131
2019,4,144294136
2019,4,144294137
2019,4,144294314
2019,4,144294315
2019,4,143522626
2019,4,143522928
2019,4,143522984
2019,4,143522989
2019,4,143523000
2019,4,143523047
2019,4,143523049
2019,4,143523048
2019,4,143541719
2019,4,145702765
2019,4,145702764
2019,4,143547656
2019,4,143931016
2019,4,143930909
2019,4,143930931
2019,4,143930944
2019,4,143931014
2019,4,143931017
2019,4,143931047
2019,4,143931048
2019,4,143931054
2019,3,143931074
2019,4,143936206
2019,4,144175229
2019,4,144175232
2019,4,144175233
2019,4,145262787
2019,4,144293257
2019,4,144293507
2019,4,144293770
2019,4,144293510
2019,4,144293514
2019,4,144292272
2019,4,145262788
2019,4,144292353
2019,4,144292354
2019,4,144293252
2019,4,144293265
2019,4,144293276
2019,4,144293279
2019,4,144293283
2019,4,144293286
2019,4,144293292
2019,4,144293293
2019,4,144293392
2019,4,144293395
2019,4,144293446
2019,4,144293449
2019,4,144293450
2019,4,144293452
2019,4,144293453
2019,4,144293454
2019,4,144293457
2019,4,144293518
2019,4,144293521
2019,4,144293524
2019,4,144293528
2019,4,144293533
2019,4,144293546
2019,4,144293549
2019,4,144293553
2019,4,144293558
2019,4,144293559
2019,3,144293562
2019,4,144293566
2019,4,144293569
2019,4,144293572
2019,4,144293576
2019,4,144293580
2019,4,144293582
2019,4,144293587
2019,4,144293591
2019,4,144293595
2019,4,144293598
2019,4,144293599
2019,4,144293613
2019,4,144293617
2019,4,144293621
2019,4,144293634
2019,4,144293639
2019,4,144293644
2019,4,144293648
2019,4,144293662
2019,4,144293666
2019,4,144293670
2019,4,144293671
2019,4,144293676
2019,4,144293675
2019,4,144293687
2019,4,144293690
2019,1,144293694
2019,4,144293723
2019,4,144293728
2019,4,144293762
2019,4,144293763
2019,4,144293856
2019,4,144293859
2019,4,144293864
2019,4,144293871
2019,4,144293872
2019,4,144293873
2019,4,144293880
2019,4,144293883
2019,4,144293954
2019,4,144293960
2019,4,144293959
2019,4,144293963
2019,4,144293967
2019,4,144293970
2019,4,144293974
2019,4,144293979
2019,4,144293980
2019,4,144293984
2019,4,144294000
2019,4,144294007
2019,1,144294052
2019,4,144294055
2019,4,144294054
2019,4,144294094
2019,4,144294141
2019,4,144294164
2019,3,144294165
2019,3,144294166
2019,4,144294170
2019,4,144294172
2019,3,144294173
2019,4,144294176
2019,4,144294178
2019,4,144294179
2019,4,144294180
2019,4,144294181
2019,4,144294184
2019,4,144294190
2019,4,144294209
2019,4,144294210
2019,4,144294224
2019,4,144294225
2019,4,144294233
2019,4,144294237
2019,4,144294241
2019,4,144294243
2019,4,144294246
2019,4,144294248
2019,4,144294247
2019,4,144294259
2019,4,144294322
2019,4,144294328
2019,4,144322767
2019,4,144323063
2019,4,144322637
2019,4,144323011
2019,4,145447346
2019,4,144322655
2019,4,144322664
2019,4,144322670
2019,4,144322671
2019,4,144322672
2019,4,144322674
2019,4,144322675
2019,4,144322676
2019,4,144322680
2019,4,144322685
2019,4,144322688
2019,4,144322689
2019,4,144322690
2019,4,144322692
2019,4,144322693
2019,4,144322694
2019,4,144322695
2019,4,144322698
2019,4,144322707
2019,4,144322706
2019,1,144322711
2019,1,144322710
2019,4,144322712
2019,4,144322713
2019,4,144322724
2019,4,144322725
2019,4,144322729
2019,3,144322731
2019,3,144322730
2019,3,144322734
2019,4,145447470
2019,4,145447471
2019,4,144322745
2019,1,144322768
2019,4,144322769
2019,4,144322777
2019,4,145447656
2019,4,144322796
2019,4,144322804
2019,4,144322805
2019,4,144322807
2019,3,144322810
2019,3,144322808
2019,3,144322809
2019,4,144322813
2019,4,144322814
2019,4,144322816
2019,4,144322819
2019,4,144322823
2019,4,144322827
2019,4,144322833
2019,4,144322835
2019,4,144322839
2019,4,144322846
2019,4,144322850
2019,4,144322865
2019,4,144322866
2019,4,144322867
2019,4,144322869
2019,4,144322870
2019,4,144322871
2019,4,144322873
2019,4,144322874
2019,4,144322875
2019,4,144322878
2019,4,144322885
2019,4,144322884
2019,4,144322889
2019,4,144322890
2019,4,144322893
2019,4,144322903
2019,4,144322910
2019,4,144322911
2019,4,144322915
2019,4,144322916
2019,4,144322941
2019,4,144322944
2019,4,144322949
2019,4,144322964
2019,4,144322965
2019,4,144322966
2019,4,144322973
2019,4,144322974
2019,4,144322983
2019,4,144323012
2019,4,144323013
2019,4,144323031
2019,4,144323032
2019,4,144323056
2019,4,144323061
2019,4,144323065
2019,4,144323067
2019,4,144323069
2019,4,144323073
2019,4,130352639
2019,4,130347624
2019,4,130352642
2019,4,130347635
2019,4,130352675
2019,4,130356849
