"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,142481175
2019,6,142481215
2019,9,142481239
2019,8,143305164
2019,8,143305167
2019,6,143305277
2019,8,143305277
2019,6,143305276
2019,8,143305276
2019,6,143305281
2019,6,143305496
2019,6,141461286
2019,9,143281832
2019,8,143281864
2019,1,141461216
2019,1,141116175
2019,6,141116187
2019,6,141116216
2019,9,140221740
2019,9,140221745
2019,9,140221746
2019,9,140221758
2019,9,141891560
2019,6,148297042
2019,6,148298484
2019,8,148298490
2019,6,139080148
2019,6,139080178
2019,6,139080215
2019,6,139080220
2019,6,139080227
2019,6,139080226
2019,6,139080233
2019,6,139080237
2019,6,139080248
2019,6,139080252
2019,6,139080253
2019,6,139080265
2019,6,139080264
2019,6,139080270
2019,8,139080274
2019,8,139080273
2019,6,139080278
2019,6,139080281
2019,6,139080297
2019,6,139080302
2019,6,139080323
2019,6,139080328
2019,6,139080329
2019,6,139080332
2019,6,139080334
2019,8,139080334
2019,8,139080337
2019,9,139080722
2019,6,139080450
2019,9,139080624
2019,6,139080844
2019,6,139080843
2019,6,139080933
2019,6,139080136
2019,6,139080135
2019,6,130261566
2019,6,130266660
2019,6,130261640
2019,9,130266695
2019,6,130261695
2019,2,130266721
2019,6,130261791
2019,9,130266788
2019,6,130266977
2019,9,130271756
2019,9,130271758
2019,9,130266988
2019,9,130271829
2019,9,130271834
2019,6,130271840
2019,5,130267320
2019,6,130267435
2019,6,130262463
2019,6,139076400
2019,8,139076404
2019,6,139076406
2019,6,139076407
2019,6,139076405
2019,6,139076424
2019,6,139076425
2019,6,139076427
2019,6,139076426
2019,6,139076430
2019,6,139076432
2019,6,139076434
2019,6,139076433
2019,6,139076438
2019,6,139076439
2019,6,139076483
2019,6,139076484
2019,6,139076482
2019,6,139076491
2019,6,139076505
2019,8,139076505
2019,6,139076506
2019,8,139076506
2019,6,139076511
2019,8,139076511
2019,6,139076512
2019,9,130271519
2019,9,130266703
2019,9,130266732
2019,9,130271651
2019,6,130261868
2019,8,130271658
2019,9,130261880
2019,6,146817025
2019,6,146817034
2019,9,146817222
2019,6,146881897
2019,9,146882262
2019,6,146882467
2019,9,146921211
2019,6,146921213
2019,9,146921212
2019,9,146921524
2019,9,147034777
2019,6,148203231
2019,7,146988049
2019,9,146988048
2019,9,146988053
2019,6,146988059
2019,6,148203232
2019,6,148203239
2019,6,148203240
2019,6,148479502
2019,6,148479503
2019,9,148480497
2019,9,148480496
2019,9,146626410
2019,6,146626530
2019,1,146626534
2019,6,146626534
2019,6,146626538
2019,6,146626539
2019,9,146725978
2019,8,146726086
2019,9,146726093
2019,9,146988170
2019,9,146561234
2019,9,147183537
2019,9,146255856
2019,9,147236790
2019,6,148352218
2019,9,148352220
2019,9,147583714
2019,6,147672694
2019,9,147676129
2019,6,148190131
2019,2,147632992
2019,3,148202824
2019,6,148202824
2019,8,148202824
2019,6,148202832
2019,6,148202836
2019,6,148202837
2019,9,147594223
2019,9,147594222
2019,9,147594697
2019,9,147569668
2019,6,147568954
2019,6,147324381
2019,9,147594605
2019,3,147672792
2019,9,147161527
2019,6,148351953
2019,6,148351951
2019,6,148351952
2019,9,148352062
2019,6,148352105
2019,6,148352143
2019,6,148352161
2019,8,148352165
2019,6,148352171
2019,9,148352291
2019,6,148352315
2019,6,148352314
2019,9,148202851
2019,9,148202852
2019,9,148202856
2019,9,148202869
2019,6,148202870
2019,8,148202870
2019,9,148202875
2019,6,148202934
2019,6,148202935
2019,9,148202938
2019,9,148202942
2019,6,148202978
2019,9,148202982
2019,9,148202983
2019,9,148202995
2019,9,148203000
2019,9,148202857
2019,9,148202853
2019,6,147183559
2019,9,147183555
2019,6,147183558
2019,6,147183557
2019,9,148203019
2019,9,147969562
2019,9,147969727
2019,9,147969728
2019,1,147676134
2019,6,148288765
2019,9,148288767
2019,6,148288771
2019,6,148351969
2019,6,148202828
2019,6,148202834
2019,9,148202838
2019,6,148202842
2019,9,148202847
2019,6,148202850
2019,6,148202855
2019,9,148202867
2019,9,148202981
2019,9,148202992
2019,9,148202991
2019,9,148203004
2019,6,147672816
2019,6,147520047
2019,6,147520046
2019,6,146626634
2019,9,147147235
2019,6,146574244
2019,6,146574246
2019,6,146882360
2019,6,146882362
2019,9,146882363
2019,9,147034752
2019,6,148202766
2019,6,148202765
2019,6,148288690
2019,9,146987988
2019,6,147493081
2019,9,147594227
2019,9,147594228
2019,6,147689213
2019,6,147689214
2019,6,147689212
2019,6,147697639
2019,9,148998898
2019,6,148998965
2019,9,148998973
2019,6,149001237
2019,6,149001236
2019,3,149001238
2019,9,149001239
2019,6,149001240
2019,9,149001242
2019,6,149001245
2019,6,149001244
2019,9,149001246
2019,6,149001257
2019,9,149001343
2019,6,149001344
2019,6,149001348
2019,6,149001350
2019,9,148983214
2019,6,148983218
2019,8,148983218
2019,6,148983219
2019,9,148983222
2019,6,148983223
2019,9,148983224
2019,6,148983226
2019,6,148983227
2019,6,148983230
2019,6,148983233
2019,9,148983236
2019,9,148983238
2019,9,148983284
2019,9,148983285
2019,6,148983287
2019,6,148983288
2019,9,148983291
2019,9,148983290
2019,6,147594296
2019,6,147594297
2019,6,147594671
2019,9,147594291
2019,6,147519936
2019,6,147519937
2019,6,147519938
2019,3,147594295
2019,6,147568951
2019,6,147568980
2019,6,147568979
2019,9,147594294
2019,6,147658855
2019,6,147672393
2019,6,147632961
2019,6,148351971
2019,6,148351970
2019,6,148351976
2019,9,147161215
2019,9,147161216
2019,9,147672689
2019,6,147697579
2019,6,147569638
2019,6,147569639
2019,1,147697640
2019,6,147969567
2019,6,147969566
2019,6,147324372
2019,6,147568944
2019,9,147324377
2019,6,147324379
2019,9,147324378
2019,9,147324380
2019,6,147324417
2019,6,147324418
2019,6,147672486
2019,6,146561354
2019,2,146561358
2019,9,146626220
2019,6,148202889
2019,7,148202889
2019,6,148202888
2019,6,148203208
2019,9,147672484
2019,6,147701241
2019,6,147701240
2019,6,147568760
2019,6,147583710
2019,6,147594230
2019,6,148202559
2019,6,148202560
2019,6,148202700
2019,6,148202699
2019,6,148202701
2019,9,148202707
2019,9,148202950
2019,6,148202988
2019,3,148202993
2019,6,148202993
2019,6,148202994
2019,9,147969563
2019,9,147969568
2019,6,147969570
2019,9,147969569
2019,6,147701218
2019,6,147701219
2019,6,147689215
2019,6,147689216
2019,9,148202831
2019,6,148202844
2019,9,148202854
2019,9,148202860
2019,9,148202871
2019,6,148202878
2019,6,148202883
2019,6,148203136
2019,6,148203137
2019,6,148203237
2019,6,148203236
2019,9,147672693
2019,6,147672717
2019,6,147672741
2019,6,147672740
2019,6,147672743
2019,9,148351948
2019,9,148351955
2019,6,148351960
2019,6,148351968
2019,8,148352133
2019,6,148352163
2019,6,148352162
2019,6,148352168
2019,6,148352169
2019,6,148352174
2019,8,148203192
2019,9,148202829
2019,9,148202858
2019,6,148202859
2019,6,148203062
2019,6,148203284
2019,9,148352285
2019,9,148480432
2019,6,148201925
2019,9,148203006
2019,9,148351949
2019,3,148351962
2019,6,148352151
2019,6,148352159
2019,6,148352178
2019,9,148352217
2019,6,148352221
2019,9,148352310
2019,6,148351954
2019,6,148352059
2019,6,148352060
2019,6,148352061
2019,6,148352067
2019,3,148352141
2019,6,148352141
2019,6,148352145
2019,8,148352156
2019,6,148352226
2019,9,148352231
2019,9,148352247
2019,9,148352392
2019,9,148480502
2019,6,148479731
2019,8,148480414
2019,9,148202630
2019,6,148202864
2019,9,148202868
2019,6,148202872
2019,6,148202877
2019,6,148202876
2019,6,148352318
2019,3,148479564
2019,9,148202845
2019,6,148352101
2019,6,148203354
2019,9,148203010
2019,9,148203020
2019,6,148203087
2019,6,148190129
2019,9,148202830
2019,6,148202861
2019,6,148202886
2019,9,148202924
2019,9,148203008
2019,6,148203064
2019,1,148203069
2019,6,148203070
2019,6,148203077
2019,6,148203147
2019,9,148479534
2019,2,148352104
2019,8,148352104
2019,6,148352214
2019,6,148352334
2019,6,148352333
2019,9,148479584
2019,9,148479608
2019,3,148480311
2019,6,147969530
2019,6,148352213
2019,2,148352229
2019,6,148352233
2019,6,148352251
2019,6,146843733
2019,9,146843908
2019,6,147183208
2019,6,147183206
2019,9,147183581
2019,9,147327942
2019,6,147327947
2019,8,147183845
2019,6,147327922
2019,6,147327921
2019,6,147667633
2019,9,147694428
2019,9,148828027
2019,3,147328061
2019,6,147328062
2019,6,147327869
2019,9,147579030
2019,9,147545318
2019,6,147694410
2019,6,147667956
2019,6,147667955
2019,8,146988215
2019,6,146988467
2019,6,146988468
2019,6,148172866
2019,9,148316786
2019,3,148316951
2019,3,148316956
2019,6,147953144
2019,3,147953149
2019,9,146882476
2019,9,146626465
2019,6,146626656
2019,9,146726126
2019,9,148493106
2019,6,146561541
2019,6,146574056
2019,6,146574057
2019,9,146626445
2019,10,146882478
2019,6,146921408
2019,9,147034808
2019,9,146882085
2019,9,147034327
2019,6,147034807
2019,6,147566028
2019,9,147236883
2019,6,147328529
2019,6,146988074
2019,9,146988404
2019,9,146726140
2019,9,146726142
2019,9,146726143
2019,9,146726144
2019,9,147034613
2019,9,147034439
2019,1,146843654
2019,9,147694312
2019,9,147694314
2019,9,147953146
2019,9,146726092
2019,9,146726094
2019,2,146882055
2019,9,146574192
2019,6,148564433
2019,11,148827925
2019,6,148827927
2019,9,148827966
2019,9,148828010
2019,9,148828011
2019,9,148828014
2019,6,148828056
2019,6,148828088
2019,11,148828013
2019,9,148828082
2019,6,148828083
2019,6,148828087
2019,6,148828086
2019,9,148828102
2019,9,148828103
2019,6,148346071
2019,7,148346073
2019,6,148346075
2019,9,148346119
2019,6,148346138
2019,6,148346137
2019,9,147579032
2019,9,147327871
2019,6,147545522
2019,6,147545521
2019,6,147566110
2019,6,147566111
2019,6,147579034
2019,6,147579033
2019,9,146988086
2019,6,147952938
2019,9,146626444
2019,6,146626436
2019,9,146626455
2019,9,148234397
2019,9,148316763
2019,6,148316838
2019,9,148316851
2019,9,147161375
2019,9,148346072
2019,1,148346083
2019,6,148173683
2019,9,147236794
2019,9,148346121
2019,6,148346126
2019,9,148829613
2019,2,148829614
2019,9,148804808
2019,6,148827288
2019,9,148827951
2019,9,148828106
2019,6,148346060
2019,9,148346061
2019,3,148346129
2019,6,148346130
2019,9,148521177
2019,9,148616003
2019,9,146843634
2019,6,146843966
2019,6,146574045
2019,6,146574044
2019,9,146574124
2019,9,146574126
2019,9,146574225
2019,3,146816561
2019,9,146921264
2019,6,146987968
2019,6,146987985
2019,9,146726054
2019,12,146988212
2019,6,146988336
2019,9,146988346
2019,9,146988345
2019,9,146988350
2019,9,146988353
2019,9,146988356
2019,9,146988358
2019,9,146988398
2019,9,146988399
2019,9,146988403
2019,9,146988414
2019,9,146988417
2019,9,146988418
2019,9,146988445
2019,9,149121383
2019,9,149108279
2019,9,147161538
2019,9,147161184
2019,9,148230920
2019,8,148237011
2019,6,148237022
2019,9,148237024
2019,9,148237028
2019,9,148237030
2019,6,148244583
2019,9,147666176
2019,9,148996714
2019,6,149031327
2019,6,149031326
2019,9,149031330
2019,9,149031332
2019,6,149031334
2019,9,149031333
2019,6,149031376
2019,7,149031377
2019,6,146843839
2019,9,148951646
2019,9,148951654
2019,6,148866308
2019,6,147953240
2019,6,147953241
2019,6,148230924
2019,9,148237120
2019,2,148866129
2019,9,147328055
2019,6,148866135
2019,6,148866136
2019,6,147327998
2019,9,147327999
2019,6,149031428
2019,9,149036021
2019,9,149041532
2019,6,149041482
2019,9,149041529
2019,7,147566162
2019,6,146988067
2019,8,146987969
2019,6,146987900
2019,8,146987970
2019,6,146988055
2019,9,146988061
2019,9,148237029
2019,9,148237039
2019,9,148237023
2019,9,148237027
2019,9,148237041
2019,6,148237025
2019,11,147576559
2019,4,147598592
2019,6,147598592
2019,9,147598594
2019,6,147953242
2019,6,147953243
2019,6,147953245
2019,9,147953244
2019,6,148983813
2019,6,148983823
2019,3,148237557
2019,6,148237557
2019,9,148895632
2019,9,148922378
2019,8,149031311
2019,6,148999043
2019,6,148999044
