"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91052019,9105,2019,"MN0010000","MN0010000","","N","N",,"I","AITKIN","AITKIN CO SO AITKIN","Aitkin","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",12900,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",14,15,29,4,17,21,0,0,01-JUN-16,01-FEB-19,01-FEB-19,01-FEB-19,01-AUG-19,01-FEB-19,"N","AITKIN","Non-MSA","Y","Y","Y"
91062019,9106,2019,"MN0020000","MN0020000","","N","N",,"I","ANOKA","ANOKA CO SO ANOKA","Anoka","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",85339,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",121,78,199,12,61,73,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91072019,9107,2019,"MN0020100","MN0020100","","N","N",,"I","ANOKA","ANOKA PD","Anoka","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",17591,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",27,3,30,2,7,9,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91082019,9108,2019,"MN0020200","MN0020200","","N","N",,"I","BLAINE","BLAINE PD","Blaine","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",66260,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",59,3,62,8,14,22,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91092019,9109,2019,"MN0020300","MN0020300","","N","N",,"I","CENTENNIAL LAKES","CENTENNIAL LAKES POLICE DEPARTMENT","Centennial Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",11025,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",14,0,14,2,2,4,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91102019,9110,2019,"MN0020400","MN0020400","","N","N",,"I","COLUMBIA HEIGHTS","COLUMBIA HEIGHTS PD","Columbia Heights","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",20632,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,3,25,3,3,6,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91112019,9111,2019,"MN0020500","MN0020500","","N","N",,"I","COON RAPIDS","COON RAPIDS PD","Coon Rapids","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",62652,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",57,1,58,9,9,18,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91122019,9112,2019,"MN0020600","MN0020600","","N","N",,"I","FRIDLEY","FRIDLEY PD","Fridley","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",27805,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",40,1,41,4,4,8,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91132019,9113,2019,"MN0020700","MN0020700","","N","N",,"I","LINO LAKES","LINO LAKES PD","Lino Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",21925,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,0,21,6,3,9,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91142019,9114,2019,"MN0020800","MN0020800","","N","N",,"I","SPRING LAKE PARK","SPRING LAKE PARK PD","Spring Lake Park","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",6994,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,1,3,4,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","RAMSEY; ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91192019,9119,2019,"MN0021300","MN0021300","","N","N",,"I","RAMSEY","RAMSEY PD ANOKA","Ramsey","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",27358,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",22,0,22,4,3,7,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91212019,9121,2019,"MN0021500","MN0021500","","N","N",,"I","ST. FRANCIS","ST FRANCIS PD","St. Francis","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",7894,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,2,3,5,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91222019,9122,2019,"MN0030000","MN0030000","","N","N",,"I","BECKER","BECKER CO SO DETROIT LAKES","Becker","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",22221,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",21,22,43,1,17,18,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91232019,9123,2019,"MN0030100","MN0030100","","N","N",,"I","DETROIT LAKES","DETROIT LAKES PD","Detroit Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",9362,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,1,2,3,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91312019,9131,2019,"MN0070000","MN0070000","","N","N",,"I","BLUE EARTH","BLUE EARTH CO SO MANKATO","Blue Earth","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",15678,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",31,25,56,3,30,33,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91322019,9132,2019,"MN0070100","MN0070100","","N","N",,"I","MANKATO","MANKATO PD","Mankato","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",42955,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",42,1,43,11,7,18,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91332019,9133,2019,"MN0070200","MN0070200","","N","N",,"I","MAPLETON","MAPLETON PD","Mapleton","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2203,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91342019,9134,2019,"MN0070400","MN0070400","","N","N",,"I","EAGLE LAKE","EAGLE LAKE PD","Eagle Lake","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3195,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",2,0,2,1,0,1,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91352019,9135,2019,"MN0070500","MN0070500","","N","N",,"I","LAKE CRYSTAL","LAKE CRYSTAL PD","Lake Crystal","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2496,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91362019,9136,2019,"MN0080000","MN0080000","","N","N",,"I","BROWN","BROWN CO SO NEW ULM","Brown","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",6083,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",11,11,22,1,14,15,0,0,01-JUN-16,01-APR-19,01-APR-19,01-JUN-19,01-AUG-19,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
91372019,9137,2019,"MN0080100","MN0080100","","N","N",,"I","NEW ULM","NEW ULM PD","New Ulm","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13205,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",19,0,19,2,2,4,0,0,01-JUN-16,01-APR-19,01-APR-19,01-JUN-19,01-AUG-19,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
