"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,35765754,1,35861172
2019,35765768,1,35861186
2019,35765769,1,35861187
2019,35765771,1,35861189
2019,35765770,1,35861188
2019,34521344,1,34871805
2019,35581554,1,35706980
2019,34377925,1,34383588
2019,34167606,1,34143053
2019,34167625,1,34143072
2019,34167735,7,34143182
2019,34167771,1,34143218
2019,34167779,1,34143226
2019,34167778,1,34143225
2019,34167796,1,34143243
2019,34167795,1,34143242
2019,34167925,1,34143372
2019,34168134,1,34143583
2019,34168136,1,34143585
2019,34168387,1,34143836
2019,34168389,1,34143838
2019,34168408,1,34143857
2019,34216831,1,34192196
2019,34216855,1,34192220
2019,34216854,1,34192219
2019,34216910,1,34192275
2019,34216912,1,34192277
2019,34217005,1,34192370
2019,34217110,1,34192475
2019,34217702,1,34193051
2019,34217827,1,34193176
2019,34217830,1,34193179
2019,34217922,1,34193271
2019,34167773,1,34143220
2019,34167847,1,34143294
2019,34167901,1,34143348
2019,34168311,1,34143760
2019,34168310,1,34143759
2019,34168527,1,34143976
2019,34216857,1,34192222
2019,34217693,1,34193042
2019,34309509,1,34299935
2019,34238744,1,34209104
2019,34238783,1,34209143
2019,34239407,1,34209782
2019,34239408,1,34209783
2019,34167772,1,34143219
2019,34259822,1,34230228
2019,34167965,1,34143412
2019,34168169,1,34143618
2019,34312161,1,34302567
2019,34168246,1,34143695
2019,34259737,1,34230143
2019,34217111,6,34192476
2019,34217847,1,34193196
2019,34259735,1,34230141
2019,34259738,1,34230144
2019,34259821,1,34230227
2019,34259845,1,34230251
2019,34168020,1,34143469
2019,34168071,3,34143520
2019,34168397,1,34143846
2019,34168438,1,34143887
2019,34217140,1,34192505
2019,34271945,1,34247331
2019,34168158,1,34143607
2019,34168381,1,34143830
2019,34168566,1,34144015
2019,34217852,1,34193201
2019,34312106,1,34302512
2019,34312108,1,34302514
2019,34312163,1,34302569
2019,34312157,1,34302563
