"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,118519585,20,7265,,130727354
2019,118519586,10,,,130727355
2019,118519586,11,1,,130727356
2019,118519587,17,25,11-SEP-19,130727357
2019,118519588,17,25,,130727358
2019,118519590,7,1000,,130727360
2019,118519591,21,1000,,130727361
2019,118529578,36,1674,,130737342
2019,118529580,20,300,,130737345
2019,118529580,7,500,,130737344
2019,118529579,7,500,07-APR-19,130737343
2019,118529581,10,,,130737346
2019,118529581,11,10,,130737347
2019,118529582,15,2697,,130737348
2019,118529584,6,128,,130737350
2019,118529583,6,128,17-JUN-19,130737349
2019,118529591,8,17,,130737361
2019,118564577,7,1,,130782341
2019,118559592,3,1,,130772364
2019,118564576,7,1,,130782339
2019,118564577,4,1,,130782342
2019,118564577,26,1,,130782340
2019,118594581,3,1,,130812353
2019,118276802,63,201,22-AUG-19,130427701
2019,118276803,63,201,,130427702
2019,118277978,25,1,,130429186
2019,118277978,61,850,,130429185
2019,118277978,63,60,,130429187
2019,118277979,61,700,,130429188
2019,120064658,10,,,132307441
2019,119075823,25,280,22-SEP-19,131322371
2019,119075824,25,300,,131322372
2019,119511344,20,100,,131836116
2019,118194483,61,473,,130326050
2019,118196194,20,1500,,130320079
2019,116458180,3,3226,,127348308
2019,116453273,6,1,,127341899
2019,116461576,11,1,,127341905
2019,116461576,10,,,127341904
2019,116458214,36,300,,127343567
2019,116458214,38,1000,,127343565
2019,116458220,54,1,,127343572
2019,116458220,12,1,,127348363
2019,116458220,16,1,,127343573
2019,116453297,26,360,,127348391
2019,116453297,36,2225,,127343582
2019,116453298,50,61,,127343585
2019,116453303,61,1,,127341925
2019,116453303,10,,,127341924
2019,116458260,36,490,,127348424
2019,116453317,63,250,,127341949
2019,116461612,63,120000,,127348432
2019,116453330,16,1,,127341966
2019,116461625,63,300,,127343619
2019,116458303,10,,,127348476
2019,116461630,63,5000,,127343628
2019,116458315,11,540,,127343636
2019,116461637,63,25,,127348492
2019,116458334,63,235,,127348510
2019,116458354,17,166,,127343646
2019,116458354,7,1500,,127343645
2019,116458354,61,1,,127343648
2019,116458354,25,150,,127343647
2019,116458354,63,200,,127342037
2019,116458359,10,,,127342040
2019,116458359,11,15,,127342041
2019,116458359,63,1,,127343651
2019,116458362,4,100,,127348548
2019,116458397,63,80,,127348574
2019,116453410,10,,,127342060
2019,116453413,3,1,,127342065
2019,116461668,50,51,,127343673
2019,116458412,4,60,,127348593
2019,116458424,9,0,,127348604
2019,116453426,20,1,,127342086
2019,116461695,10,,,127343702
2019,116453431,3,1,,127342095
2019,116461709,63,1,,127343715
2019,116461709,3,3900,,127343713
