"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,130051896,6
2019,130051927,4
2019,130052020,5
2019,130052026,4
2019,128702278,5
2019,128607606,4
2019,128690390,4
2019,128702461,5
2019,128702561,3
2019,128702646,1
2019,128702656,4
2019,128702749,4
2019,128702817,4
2019,128712940,4
2019,129285246,4
2019,129562921,5
2019,130239136,4
2019,130239137,4
2019,130254210,4
2019,130254209,4
2019,130253564,5
2019,130213425,5
2019,133398467,5
2019,133398466,5
2019,133398473,5
2019,133398474,4
2019,133398477,5
2019,130253495,4
2019,130254488,5
2019,133398573,5
2019,133398575,5
2019,130278801,5
2019,130302392,5
2019,129350725,4
2019,130684908,4
2019,130685018,4
2019,130685019,4
2019,130685025,4
2019,130685026,5
2019,130685028,4
2019,130239763,4
2019,130213428,5
2019,130238324,5
2019,130238704,5
2019,130254320,5
2019,130254318,5
2019,130254319,5
2019,130239161,5
2019,130239580,5
2019,130253672,4
2019,130254117,4
2019,130254118,4
2019,129438312,5
2019,130164761,5
2019,128864894,4
2019,128864929,4
2019,129257555,4
2019,130239682,4
2019,130101993,5
2019,130254089,4
2019,130254142,4
2019,130254328,5
2019,131903489,4
2019,130302280,4
2019,130254272,4
2019,131904788,5
2019,131927917,5
2019,130684911,4
2019,130684914,5
2019,130684915,5
2019,130254104,4
2019,130254307,5
2019,130278800,3
2019,132072624,1
2019,132072625,5
2019,132072706,4
2019,132072707,5
2019,130278809,4
2019,130302242,6
2019,130302243,4
2019,130302255,4
2019,130302256,4
2019,130302303,4
2019,130239170,5
2019,130239352,4
2019,130253521,4
2019,130302312,4
2019,130253609,4
2019,130253724,4
2019,130253813,4
2019,130253928,4
2019,130253929,4
2019,130302219,5
2019,130302218,5
2019,130238831,5
2019,130239460,4
2019,130238878,4
2019,130239127,4
2019,130239129,4
2019,130239186,5
2019,130239199,5
2019,130239198,4
2019,130239333,5
2019,130239332,5
2019,130239362,4
2019,130239591,5
2019,128607861,4
2019,128607862,4
2019,128662010,4
2019,128661730,3
2019,129268921,4
2019,128702186,4
2019,128714089,5
2019,129269235,6
2019,129257576,4
2019,128864863,5
2019,128864862,5
2019,128864875,4
2019,128864874,4
2019,128864905,5
2019,128877915,5
2019,128877935,4
2019,128877949,5
2019,128877988,4
2019,128878004,5
2019,128878008,5
2019,128878009,5
2019,128878089,6
2019,128878026,5
2019,128878045,5
2019,129104518,4
2019,128878102,1
2019,128878102,2
2019,129146670,5
2019,129146671,5
2019,129183456,5
2019,129269064,4
2019,129269235,4
2019,128661727,5
2019,128765469,4
2019,128702534,5
2019,128702478,4
2019,128702738,4
2019,128712942,4
2019,128714311,5
2019,128714377,2
2019,132758175,4
2019,130920960,5
2019,130254096,5
2019,132642386,4
2019,131149874,5
2019,132664058,4
2019,131150241,4
2019,132664389,5
2019,131149591,3
2019,131150127,4
2019,131149602,5
2019,131149601,5
2019,131149663,5
2019,131149662,4
2019,131149664,5
2019,131150002,5
2019,131150048,6
2019,131150108,5
2019,131150122,5
2019,131150128,4
2019,130051636,5
2019,130051692,4
2019,130051695,4
2019,130051702,5
2019,130051703,5
2019,130051784,5
2019,130068799,4
2019,130767718,5
2019,130253550,6
2019,130253734,5
2019,130239679,5
2019,130253882,4
2019,130253917,5
2019,130254150,4
2019,132099265,5
2019,132099745,4
2019,132099750,5
2019,130254471,5
2019,130239284,2
2019,130239475,5
2019,130239749,4
2019,130239619,5
2019,130239618,4
2019,130253727,5
2019,130254097,5
2019,130254218,5
2019,130302391,5
2019,130239047,5
2019,130239049,4
2019,130239050,4
2019,130254395,5
2019,130254396,5
2019,130239165,5
2019,130239229,4
2019,130239282,5
2019,130239283,4
2019,130239346,4
2019,130239584,5
2019,130253527,4
2019,130253522,4
2019,130253524,4
2019,130253528,4
2019,130253839,4
2019,129350599,5
2019,129352600,6
2019,129377925,6
2019,129421480,4
2019,129441295,4
2019,129441300,4
2019,129441309,5
2019,129441308,5
2019,129441453,4
2019,129441456,4
2019,129441457,4
2019,129441458,5
2019,130051892,4
2019,130051900,4
2019,130051922,2
2019,130051922,8
2019,130908135,4
2019,130908140,5
2019,130908229,5
2019,130908232,5
2019,128864642,5
2019,128864849,5
2019,128864879,4
2019,130239664,5
2019,130253640,4
2019,130253639,4
2019,130302167,5
2019,130302170,5
2019,130302173,5
2019,130302245,5
2019,130302246,5
2019,130302326,4
2019,130684849,4
2019,130683071,5
2019,130683084,6
2019,130685418,4
2019,130685429,5
2019,131565799,4
2019,131565805,4
2019,131565806,5
2019,131565808,5
2019,131565837,4
2019,131566003,4
2019,131566276,5
2019,131566330,4
2019,131566380,4
2019,131566379,4
2019,131566395,4
2019,131566396,4
2019,131566397,4
2019,130683218,4
2019,130683218,8
2019,130684516,4
2019,130684517,4
2019,130682984,5
2019,130683083,6
2019,130683083,2
2019,130683217,5
2019,130684561,4
2019,130683305,4
2019,130683305,8
2019,130684802,5
2019,130684483,4
2019,130684562,4
2019,130684813,5
2019,130684962,4
2019,130684998,5
2019,130302168,5
2019,130051943,6
2019,130051972,4
2019,130238688,5
2019,130238687,5
2019,130238690,5
2019,130238692,5
2019,130238691,5
2019,130238693,5
2019,130238710,4
2019,130238811,8
2019,130238814,4
2019,130238840,5
2019,130238843,5
2019,130239562,4
2019,130239568,4
2019,130239569,4
2019,130239576,4
2019,130239579,5
2019,130239631,4
2019,130239644,5
2019,130239646,4
2019,130239648,4
2019,130239649,4
2019,130239651,4
2019,130253960,4
2019,130254123,4
2019,130254126,6
2019,130254136,4
2019,130254174,4
2019,128024375,2
2019,133765679,4
2019,133765680,8
2019,133765680,3
2019,130684436,5
2019,130684438,5
2019,130684437,5
2019,130684485,5
2019,130684580,4
2019,130684579,5
2019,130684801,4
2019,130684815,5
2019,130684878,8
2019,130684885,4
2019,130684899,5
2019,130684898,5
2019,130684897,5
2019,130684900,5
2019,130684939,4
2019,130685048,4
2019,130767403,5
2019,130767404,5
2019,130773739,3
2019,130767633,4
2019,130767640,4
2019,130773737,4
2019,130773743,1
2019,130773966,4
2019,130773989,4
2019,130774096,5
2019,129637077,4
2019,129637080,4
2019,129682908,6
2019,129264047,4
2019,129277715,4
2019,129264812,4
2019,129377169,5
2019,129373655,4
2019,129448730,5
2019,129373586,5
2019,129377055,1
2019,129577929,4
2019,128860570,5
2019,128860572,5
2019,128860574,5
