data_year,groupb_arrestee_id,weapon_code,weapon_id
2022,45299497,01,51
2022,45589951,01,51
2022,44639456,01,51
2022,44829819,01,51
2022,44847904,01,51
2022,46489791,01,51
2022,44927046,01,51
2022,44977936,01,51
2022,45092751,01,51
2022,45092752,01,51
2022,45129984,01,51
2022,48023264,01,51
2022,48023225,01,51
2022,46489794,01,51
2022,45271594,01,51
2022,45311497,01,51
2022,45309565,01,51
2022,45574170,01,51
2022,46489793,01,51
2022,46489797,01,51
2022,45448268,01,51
2022,48023276,01,51
2022,48023277,01,51
2022,46489795,01,51
2022,46489796,01,51
2022,45802452,01,51
2022,45802450,01,51
2022,45802448,01,51
2022,45802449,01,51
2022,45802451,01,51
2022,48023282,01,51
2022,48023278,01,51
2022,48023279,01,51
2022,46489799,01,51
2022,48023308,01,51
2022,48023283,01,51
2022,48023298,01,51
2022,48023292,01,51
2022,48023275,01,51
2022,48023284,01,51
2022,48023305,01,51
2022,47029927,01,51
2022,47029928,01,51
2022,46490252,01,51
2022,48023309,01,51
2022,47022631,01,51
2022,47022632,01,51
2022,47022928,01,51
2022,47022927,01,51
2022,46390895,01,51
2022,48145161,01,51
2022,46581753,01,51
2022,46752486,01,51
2022,48023345,01,51
2022,48023347,01,51
2022,48023344,01,51
2022,48023346,01,51
2022,47022635,01,51
2022,47022636,01,51
2022,46752537,01,51
2022,46752542,01,51
2022,48135279,01,51
2022,48135280,01,51
2022,48135281,01,51
2022,48145642,01,51
2022,48145643,01,51
2022,48145644,01,51
2022,48023348,01,51
2022,48023349,01,51
2022,48023350,01,51
2022,48023351,01,51
2022,48023352,01,51
2022,47144498,01,51
2022,47144499,01,51
2022,48023358,01,51
2022,48023359,01,51
2022,48023353,01,51
2022,48023361,01,51
2022,48023362,01,51
2022,48023360,01,51
2022,48024221,01,51
2022,47594861,01,51
2022,47943502,01,51
2022,48092875,01,51
2022,45300484,01,51
2022,44563284,01,51
2022,45313858,01,51
2022,44636830,01,51
2022,45640754,01,51
2022,44508186,01,51
2022,44508187,01,51
2022,44508188,01,51
2022,45755489,01,51
2022,44552997,01,51
2022,44557124,01,51
2022,44615696,01,51
2022,45778765,01,51
2022,45778766,01,51
2022,44639431,01,51
2022,44646716,01,51
2022,44662567,01,51
2022,44698921,01,51
2022,44719148,01,51
2022,45359266,01,51
2022,45499922,01,51
2022,45846052,01,51
2022,44719159,01,51
2022,44750468,01,51
2022,45279139,01,51
2022,45304758,01,51
2022,45304761,01,51
2022,45304757,01,51
2022,45304760,01,51
2022,45349750,01,51
2022,45447336,01,51
2022,45374659,01,51
2022,45466577,01,51
2022,45499323,01,51
2022,45472330,01,51
2022,45447344,01,51
2022,45541730,01,51
2022,45783501,01,51
2022,45783502,01,51
2022,46640032,01,51
2022,45862692,01,51
2022,45980517,01,51
2022,45964843,01,51
2022,45964842,01,51
2022,46842593,17,53
2022,46083293,01,51
2022,46172604,01,51
2022,44824770,01,51
2022,44826767,01,51
2022,44827271,01,51
2022,44841068,01,51
2022,46208251,01,51
2022,44847906,01,51
2022,46125919,01,51
2022,44909892,01,51
2022,46360221,01,51
2022,46488521,01,51
2022,44926985,01,51
2022,44931603,01,51
2022,44950728,01,51
2022,45028368,01,51
2022,45036082,01,51
2022,45036083,01,51
2022,45213114,01,51
2022,46549837,01,51
2022,46569474,01,51
2022,46820333,01,51
2022,47105554,01,51
2022,46616494,01,51
2022,45268029,01,51
2022,45268195,01,51
2022,46639647,01,51
2022,45268194,01,51
2022,45272881,01,51
2022,45296636,01,51
2022,45296674,01,51
2022,45296675,01,51
2022,45299211,01,51
2022,46695693,01,51
2022,46868661,01,51
2022,47087762,01,51
2022,47087764,01,51
2022,47183877,01,51
2022,48800497,01,51
2022,45299329,01,51
2022,45309401,01,51
2022,45304139,01,51
2022,45102217,01,51
2022,45102218,01,51
2022,45349986,01,51
2022,45331504,01,51
2022,45331505,01,51
2022,45332711,01,51
2022,45345028,01,51
2022,45375563,01,51
2022,45467050,01,51
2022,45772076,01,51
2022,47295724,01,51
2022,47278542,01,51
2022,46175730,01,51
2022,46277249,01,51
2022,46277250,01,51
2022,45530685,01,51
2022,47376428,01,51
2022,47376464,01,51
2022,47420196,01,51
2022,47604057,01,51
2022,47677303,01,51
2022,47677301,01,51
2022,45632348,01,51
2022,45535405,01,51
2022,45564104,01,51
2022,45590144,01,51
2022,44469992,01,51
2022,44475060,01,51
2022,44475499,01,51
2022,44552417,01,51
2022,45564101,01,51
2022,45564099,01,51
2022,45672119,01,51
2022,45589953,01,51
2022,45592517,01,51
2022,45664752,01,51
2022,45676554,01,51
2022,45676555,01,51
2022,45701806,01,51
2022,45701822,01,51
2022,45701821,01,51
2022,45702969,01,51
2022,44558379,01,51
2022,44616249,01,51
2022,45766724,01,51
2022,45714422,01,51
2022,45715212,01,51
2022,45716716,01,51
2022,45747141,01,51
2022,46233567,01,51
2022,45802361,01,51
2022,45766725,01,51
2022,45802374,01,51
2022,45780584,01,51
2022,44642203,01,51
2022,44645520,01,51
2022,44829158,01,51
2022,45983808,01,51
2022,45096717,01,51
2022,46764969,01,51
2022,45298798,01,51
2022,45780585,01,51
2022,45845595,01,51
2022,45965061,01,51
2022,45846431,01,51
2022,45932891,01,51
2022,45967119,01,51
2022,45967446,01,51
2022,45967447,01,51
2022,45947893,01,51
2022,45628252,01,51
2022,45927752,01,51
2022,45928224,01,51
2022,46006734,01,51
2022,46007790,01,51
2022,46011701,01,51
2022,44872867,01,51
2022,44872868,01,51
2022,46277251,01,51
2022,46126045,01,51
2022,46067713,01,51
2022,46170765,01,51
2022,46233194,01,51
2022,46245294,01,51
2022,46245875,01,51
2022,46173471,01,51
2022,46173486,01,51
2022,44874106,01,51
2022,44923787,01,51
2022,44923777,01,51
2022,46173497,01,51
2022,46173498,01,51
2022,46176516,01,51
2022,46210390,01,51
2022,46277821,01,51
2022,46277822,01,51
2022,46280910,01,51
2022,44616034,01,51
2022,44937434,01,51
