yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
91332022,9133,2022,MN0070200,MN0070200,,N,N,,I,MAPLETON,MAPLETON PD,Mapleton,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,2193,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,2.3,2.3,2016-06-01,2018-04-01,2018-04-01,2018-06-01,2018-06-01,2018-06-01,N,BLUE EARTH,"Mankato, MN",Y,Y,Y
91342022,9134,2022,MN0070400,MN0070400,,N,N,,I,EAGLE LAKE,EAGLE LAKE PD,Eagle Lake,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,3275,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,0,0,0.9,0.9,2016-06-01,2018-04-01,2018-04-01,2018-06-01,2018-06-01,2018-06-01,N,BLUE EARTH,"Mankato, MN",Y,Y,Y
91352022,9135,2022,MN0070500,MN0070500,,N,N,,I,LAKE CRYSTAL,LAKE CRYSTAL PD,Lake Crystal,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,2536,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,0,0,1.2,1.2,2016-06-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,N,BLUE EARTH,"Mankato, MN",Y,Y,Y
91362022,9136,2022,MN0080000,MN0080000,,N,N,,I,BROWN,BROWN CO SO NEW ULM,Brown,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,5947,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,9,20,1,14,15,2.0,5.9,2016-06-01,2019-04-01,2019-04-01,2019-06-01,2019-08-01,2019-06-01,N,BROWN,Not Specified,Y,Y,Y
91372022,9137,2022,MN0080100,MN0080100,,N,N,,I,NEW ULM,NEW ULM PD,New Ulm,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,14067,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,0,20,3,0,3,1.6,1.6,2016-06-01,2019-04-01,2019-04-01,2019-06-01,2019-08-01,2019-06-01,N,BROWN,Not Specified,Y,Y,Y
91382022,9138,2022,MN0080200,MN0080200,,N,N,,I,SLEEPY EYE,SLEEPY EYE PD,Sleepy Eye,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,3411,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,2,0,2,2.1,2.1,2016-06-01,2019-04-01,2019-04-01,2019-04-01,2019-04-01,2019-04-01,N,BROWN,Not Specified,Y,Y,Y
91392022,9139,2022,MN0080300,MN0080300,,N,N,,I,SPRINGFIELD,SPRINGFIELD PD,Springfield,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,2002,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,2,0,2,2.5,2.5,2016-06-01,2019-04-01,2019-04-01,2019-06-01,2019-08-01,2019-06-01,N,BROWN,Not Specified,Y,Y,Y
91402022,9140,2022,MN0090000,MN0090000,,N,N,,I,CARLTON,CARLTON CO SO CARLTON,Carlton,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,21410,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,21,17,38,3,18,21,1.1,2.8,2016-06-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,N,CARLTON,"Duluth, MN-WI",Y,Y,Y
91412022,9141,2022,MN0090100,MN0090100,,N,N,,I,CLOQUET,CLOQUET PD,Cloquet,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,12747,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,0,21,2,2,4,1.8,2.0,2016-06-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,N,CARLTON,"Duluth, MN-WI",Y,Y,Y
91422022,9142,2022,MN0090200,MN0090200,,N,N,,I,MOOSE LAKE,MOOSE LAKE PD,Moose Lake,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,2565,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,0,0,1.9,1.9,2016-06-01,2020-07-01,2020-07-01,2020-08-01,2020-08-01,2020-08-01,N,CARLTON,"Duluth, MN-WI",Y,Y,Y
91452022,9145,2022,MN0100000,MN0100000,,N,N,,I,CARVER,CARVER CO SO CHASKA,Carver,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,81952,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,67,29,96,6,42,48,0.9,1.8,2016-06-01,2016-06-01,2016-06-01,2016-06-01,2016-06-01,2016-06-01,N,CARVER,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91472022,9147,2022,MN0100200,MN0100200,,N,N,,I,CHASKA,CHASKA PD,Chaska,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,28204,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,26,1,27,3,4,7,1.0,1.2,2016-06-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CARVER,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91492022,9149,2022,MN0110000,MN0110000,,N,N,,I,CASS,CASS CO SO WALKER,Cass,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,27718,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,44,14,58,1,14,15,1.6,2.6,2016-06-01,2019-02-01,2019-02-01,2019-02-01,2019-08-01,2019-02-01,N,CASS,Not Specified,Y,Y,Y
91502022,9150,2022,MN0120000,MN0120000,,N,N,,I,CHIPPEWA,CHIPPEWA,Chippewa,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,6061,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,10,10,20,1,2,3,1.8,3.8,2016-06-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,CHIPPEWA,Not Specified,Y,Y,Y
91512022,9151,2022,MN0120100,MN0120100,MN0120000,N,N,,I,CLARA CITY,CLARA CITY PD,Clara City,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,1360,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2016-06-01,2020-12-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,Y,CHIPPEWA,Not Specified,N,Y,N
91522022,9152,2022,MN0120200,MN0120200,,N,N,,I,MONTEVIDEO,MONTEVIDEO PD,Montevideo,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,5180,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,3,1,4,1.9,2.1,2016-06-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,CHIPPEWA,Not Specified,Y,Y,Y
91532022,9153,2022,MN0130000,MN0130000,,N,N,,I,CHISAGO,CHISAGO CO SO CENTER CITY,Chisago,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,28094,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,39,27,66,5,15,20,1.6,3.1,2016-06-01,2020-06-01,2020-06-01,2020-06-01,2020-06-01,2020-06-01,N,CHISAGO,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91562022,9156,2022,MN0130500,MN0130500,,N,N,,I,NORTH BRANCH,NORTH BRANCH PD,North Branch,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,11439,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,12,0,12,1,2,3,1.1,1.3,2016-06-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,N,CHISAGO,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91582022,9158,2022,MN0130800,MN0130800,,N,N,,I,WYOMING,WYOMING PD,Wyoming,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,8098,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,2,2,4,1.2,1.5,2016-06-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,N,CHISAGO,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91592022,9159,2022,MN0130900,MN0130900,,N,N,,I,LAKES AREA,LAKES AREA POLICE DEPARTMENT,Lakes Area,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,10739,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,11,0,11,2,2,4,1.2,1.4,2016-06-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,CHISAGO,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91602022,9160,2022,MN0140000,MN0140000,,N,N,,I,CLAY,CLAY CO SO MOORHEAD,Clay,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,10062,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,31,26,57,4,27,31,3.5,8.7,2016-06-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,CLAY,"Fargo, ND-MN",Y,Y,Y
91612022,9161,2022,MN0140200,MN0140200,,N,N,,I,DILWORTH,DILWORTH PD,Dilworth,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,4641,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,0,1,1,1.7,1.9,2016-06-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,CLAY,"Fargo, ND-MN",Y,Y,Y
91622022,9162,2022,MN0140400,MN0140400,,N,N,,I,MOORHEAD,MOORHEAD PD,Moorhead,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,44859,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,50,4,54,9,11,20,1.3,1.6,2016-06-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,CLAY,"Fargo, ND-MN",Y,Y,Y
