data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,45219782,,51
2022,47961300,,51
2022,46244729,,51
2022,46244731,,51
2022,45262885,,51
2022,48828840,,51
2022,45355646,,51
2022,45355647,,51
2022,45370430,,51
2022,45807812,,51
2022,47961301,,51
2022,45359441,,51
2022,45863415,,51
2022,50162731,,51
2022,47961720,,51
2022,50162732,,51
2022,50162733,,51
2022,45721235,,51
2022,49459649,,51
2022,46244742,,51
2022,46244743,,51
2022,45659099,,51
2022,45940708,,51
2022,46280226,,51
2022,47961305,,51
2022,47961306,,51
2022,46275019,,51
2022,46305808,,51
2022,47426571,,51
2022,49553366,,51
2022,48161989,,51
2022,48463625,,51
2022,46937521,,51
2022,46984788,,51
2022,46984789,,51
2022,47252773,,51
2022,46283743,,51
2022,50162735,,3
2022,46287462,,51
2022,50162736,,51
2022,50162737,,51
2022,50162738,,51
2022,50162739,,51
2022,50162740,,51
2022,47961313,,51
2022,47961314,,51
2022,50162742,,51
2022,46621121,,51
2022,46539122,,51
2022,47276822,,51
2022,50162743,,51
2022,46360979,,51
2022,46507158,,51
2022,50162915,,51
2022,46392164,,51
2022,50162744,,51
2022,47379930,,51
2022,47509076,,51
2022,50749769,,51
2022,47791736,,51
2022,46591716,,51
2022,46699157,,51
2022,47791738,,51
2022,47991228,,51
2022,48312866,,51
2022,50162746,,51
2022,47079196,,51
2022,46699159,,51
2022,47961319,,51
2022,46869100,,51
2022,50162747,,51
2022,48278071,,51
2022,50162748,,51
2022,46869123,,51
2022,50141681,,51
2022,50141682,,51
2022,50141683,,51
2022,48581144,,51
2022,48568621,,51
2022,46869103,,52
2022,50265027,,51
2022,48514603,,51
2022,48755715,,51
2022,48755716,,51
2022,50158292,,51
2022,47961322,,51
2022,50162751,,51
2022,50249570,,51
2022,49068260,,51
2022,47961394,,51
2022,49085484,,51
2022,49228538,,51
2022,49218517,,51
2022,49218518,,51
2022,49218519,,51
2022,50749770,,51
2022,50162752,,51
2022,50632190,,51
2022,47114864,,51
2022,50162917,,51
2022,48762925,,51
2022,48762926,,51
2022,50162919,,51
2022,50162920,,51
