data_year,victim_id,circumstances_id,justifiable_force_id
2022,186256608,21,1
2022,180784788,21,1
2022,180804010,21,1
2022,186975316,21,1
2022,169040501,21,2
2022,187662658,20,3
2022,186975450,21,3
2022,181432372,21,5
2022,180985968,20,5
2022,184141742,20,5
2022,178017612,20,5
