"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,149828619
2020,21,149828620
2020,21,149828623
2020,21,149828631
2020,21,149828630
2020,21,149828632
2020,21,149828634
2020,21,149828635
2020,21,149828636
2020,21,149828637
2020,21,149828639
2020,21,149828638
2020,21,149828641
2020,21,149828642
2020,21,149828644
2020,21,149828646
2020,21,149828651
2020,21,149828650
2020,21,149828652
2020,21,149828654
2020,21,149828659
2020,21,149828683
2020,21,149828684
2020,21,149828691
2020,21,149828694
2020,21,149828695
2020,21,149828698
2020,21,149828697
2020,21,149828701
2020,21,149828704
2020,21,149828703
2020,21,149828706
2020,21,149828707
2020,21,149828708
2020,21,149828709
2020,21,149828710
2020,21,149828713
2020,21,149828715
2020,21,149828717
2020,21,149828718
2020,21,149828719
2020,21,149828720
2020,21,149828722
2020,21,149828723
2020,21,149828724
2020,21,149828725
2020,21,149828729
2020,21,149828731
2020,21,150131676
2020,21,150131681
2020,21,147171184
2020,21,147171186
2020,21,147171187
2020,21,147171249
2020,21,147171250
2020,21,147171251
2020,21,147171260
2020,21,147171275
2020,21,147171277
2020,22,147171300
2020,21,147171301
2020,21,149828461
2020,21,149828585
2020,21,149828596
2020,21,149828599
2020,21,149828598
2020,21,149828603
2020,21,149828610
2020,21,149828613
2020,21,149828626
2020,21,149828627
2020,21,149828628
2020,21,149828629
2020,21,149828633
2020,21,149828692
2020,21,149828693
2020,21,149828732
2020,21,149828733
2020,21,149828739
2020,21,149828741
2020,21,149828758
2020,21,149828761
2020,21,149828762
2020,21,149828764
2020,21,149828766
2020,21,149828767
2020,21,149828768
2020,21,149828769
2020,21,149828771
2020,21,149828772
2020,21,149828774
2020,21,149828775
2020,21,149828783
2020,21,149828782
2020,21,149828793
2020,21,149828806
2020,21,149828816
2020,21,149828815
2020,21,149828814
2020,21,144561283
2020,21,144562101
2020,21,144562102
2020,21,144638031
2020,21,144638060
2020,21,144638066
2020,21,144638068
2020,21,144694749
2020,21,144694751
2020,21,144694750
2020,21,145674050
2020,21,145674061
2020,21,154778453
2020,21,144561931
2020,21,154778452
2020,21,153866776
2020,21,153866778
2020,21,153866777
2020,21,153867802
2020,21,153867803
2020,21,153868893
2020,21,153869063
2020,21,153869070
2020,21,153869069
2020,21,144561209
2020,21,144561208
2020,21,144561207
2020,21,144561210
2020,21,144561225
2020,21,144561855
2020,21,144561867
2020,21,144561868
2020,21,144561930
2020,21,144561940
2020,21,151298863
2020,21,145941640
2020,21,153866743
2020,21,153866753
2020,21,153866754
2020,21,153866791
2020,21,153866792
2020,21,153866795
2020,21,153866796
2020,21,153866804
2020,21,153866814
2020,21,153866815
2020,21,153866816
2020,21,153866821
2020,21,153866828
2020,21,153866832
2020,21,153866838
2020,21,153866841
2020,21,153866840
2020,21,153866845
2020,21,144528264
2020,21,144650509
2020,21,144650518
2020,21,144435805
2020,21,144435804
2020,21,144694742
2020,21,144694741
2020,21,144694754
2020,21,144694782
2020,22,153867063
2020,21,144546740
2020,21,144546741
2020,21,151719616
2020,21,151719618
2020,21,151719646
2020,21,151719649
2020,21,151719651
2020,21,151719656
2020,21,151719658
2020,21,151719727
2020,21,151719729
2020,21,151719829
2020,21,151719877
2020,21,151719902
2020,21,151719919
2020,21,151719941
2020,21,151720068
2020,21,151720069
2020,21,151720074
2020,21,151720073
2020,21,151720088
2020,21,151720100
2020,21,153857926
2020,21,153866850
2020,21,153866884
2020,21,153866926
2020,21,153866932
2020,21,153866931
2020,21,153866953
2020,21,153866957
2020,21,153866958
2020,21,153866961
2020,21,153866962
2020,21,153866964
2020,21,153866966
2020,21,153866969
2020,21,153866970
2020,21,153866972
2020,21,153866973
2020,22,153867005
2020,21,153867012
2020,21,153867013
2020,21,153867016
2020,21,159903532
2020,21,159903674
2020,21,159903673
2020,21,159903563
2020,21,159903601
2020,21,144488145
2020,21,144488147
2020,21,144488174
2020,21,144488178
2020,21,144488183
2020,21,144488188
2020,21,144488191
2020,21,144488244
2020,21,144488273
2020,21,144488272
2020,21,144488331
2020,21,148193564
2020,21,148193563
2020,21,148193567
2020,21,148193573
2020,21,150452173
2020,21,148221189
2020,21,148298664
2020,21,148298675
2020,21,148298678
2020,21,148221196
2020,21,148221199
2020,21,148221200
2020,21,148221203
2020,21,148221210
2020,21,148298682
2020,21,148298681
2020,21,148221214
2020,21,148298744
2020,21,148298771
2020,21,148298829
2020,21,150452202
2020,21,148298966
2020,21,148299033
2020,21,150452257
2020,21,150452260
2020,21,150452268
2020,22,150452271
2020,21,150452272
2020,21,150452273
2020,21,150452294
2020,21,150452296
2020,21,148299185
2020,21,148299186
2020,21,150452417
2020,21,150452419
2020,21,150452423
2020,21,153805686
2020,21,150631176
2020,22,153805682
2020,21,153805698
2020,21,150631190
2020,21,153805745
2020,21,153805835
2020,21,153805840
2020,21,153805904
2020,21,153805936
2020,21,153805964
2020,21,150631228
2020,21,150631240
2020,21,150631244
2020,21,150631762
2020,21,156845782
2020,21,144528262
2020,21,144528265
2020,21,149826963
2020,21,144407209
2020,21,144407285
2020,21,144407284
2020,21,144488058
2020,21,155726897
2020,21,155726898
2020,21,155726899
2020,21,155726905
2020,21,155726907
2020,21,155726908
2020,21,155726912
2020,21,155726915
2020,21,155726917
2020,21,155726919
2020,21,155726921
2020,21,155727110
2020,21,155727114
2020,21,155727115
2020,21,155727116
2020,21,146813691
2020,21,146813693
2020,21,144528263
2020,21,145986142
2020,21,146001407
2020,21,146001428
2020,21,146001431
2020,21,146001441
2020,21,148356370
2020,21,148356423
2020,21,144561928
2020,21,144488370
2020,21,144561927
2020,21,144638082
2020,21,148298498
2020,21,148298499
2020,21,148298506
2020,21,148298511
2020,21,148298510
2020,21,148298515
2020,21,148298627
2020,21,148298721
2020,21,148298754
2020,21,148298946
2020,21,148298953
2020,21,148299055
2020,21,148299181
2020,21,148299233
2020,21,148299234
2020,21,148299238
2020,21,148299284
2020,21,149826882
2020,21,144650503
2020,21,144650557
2020,21,144407451
2020,22,153859827
2020,21,153859877
2020,21,153859905
2020,21,153859906
2020,21,153860347
2020,21,153860362
2020,21,153860451
2020,21,153860453
2020,21,153860456
2020,22,153860460
2020,21,153860469
2020,21,153860471
2020,21,153866179
2020,21,161085289
2020,21,161085292
2020,21,145936183
2020,21,154877029
2020,21,154877030
2020,22,154877362
2020,22,154877361
2020,22,154877360
2020,21,154877595
2020,21,144435653
2020,21,144435652
2020,21,149828645
2020,21,149828653
2020,21,149828655
2020,21,149828875
2020,21,149828666
2020,21,149828877
2020,21,149828682
2020,21,149828685
2020,21,149828686
2020,21,149828688
2020,21,149828687
2020,21,149828689
2020,21,149828690
2020,21,149828760
2020,21,149828759
2020,21,149828763
2020,21,149828879
2020,21,149828881
2020,21,149828882
2020,21,149828883
2020,21,149828884
2020,21,149828886
2020,21,149828885
2020,21,149828887
2020,21,149828888
2020,21,149828889
2020,21,149828890
2020,21,149828894
2020,21,149828896
2020,21,149828898
2020,21,149828901
2020,21,149828902
2020,21,149828905
2020,21,149828906
2020,21,149828909
2020,21,149828912
2020,22,149828914
2020,21,149828915
2020,21,149828916
2020,21,149828917
2020,21,149828918
2020,21,149828919
2020,21,149828920
2020,21,149828921
2020,21,149828926
2020,21,149828927
2020,21,149828928
2020,21,149828929
2020,21,149828931
2020,21,149828930
2020,21,149828932
2020,21,149828933
2020,21,149828934
2020,21,149828935
2020,21,144561280
2020,21,145255441
2020,21,145255444
2020,21,146811336
2020,21,146811338
2020,21,156026975
2020,21,156026996
2020,21,156026999
2020,21,156027015
2020,21,144546742
2020,21,156027092
2020,21,144561236
2020,21,144561242
2020,21,156027116
2020,21,144561857
2020,21,144561884
2020,21,144561885
2020,21,144561886
2020,21,144561889
2020,21,144561890
2020,21,144561897
2020,21,144561902
2020,21,144561901
2020,21,156027137
2020,21,156027138
2020,21,156027155
2020,21,145387447
2020,22,145387594
2020,21,144488133
2020,21,144488170
2020,21,144488189
2020,21,144650493
2020,21,144650526
2020,21,144650499
2020,21,144650501
2020,21,144650500
2020,21,144650520
2020,21,144650522
2020,21,144650523
2020,21,144650524
2020,21,144650525
2020,21,144650527
2020,21,144650528
2020,21,144650543
2020,21,144650544
2020,21,144650560
2020,21,144694755
2020,21,144694759
2020,21,144694760
2020,21,144694761
2020,21,144407459
2020,21,156845039
2020,21,156845122
2020,21,153858881
2020,21,153858982
2020,21,153858986
2020,21,153859052
2020,21,153859136
2020,21,153859165
2020,21,153859342
2020,21,153859364
2020,21,153859371
2020,21,153859380
2020,21,147151464
2020,21,147171174
2020,21,147171177
2020,21,147171178
2020,21,147171194
2020,21,156844970
2020,21,148865863
2020,21,145387449
2020,21,156842257
2020,21,156842258
2020,21,156842331
2020,21,158450705
2020,21,158450714
2020,21,158450715
2020,21,158450717
2020,21,158450724
2020,22,158450726
2020,21,158450727
2020,21,158450730
2020,21,158450731
2020,21,158450732
2020,21,158450734
2020,22,154261462
2020,22,154261466
2020,22,154261470
2020,21,148501200
2020,21,148501201
2020,21,148501202
2020,21,148516213
2020,21,144650502
2020,21,148516216
2020,21,154879763
2020,21,154879762
2020,21,154879769
2020,21,154880342
2020,21,154880386
2020,21,154879780
2020,21,154879782
2020,21,154880674
2020,21,154880673
2020,21,154879813
2020,21,154879818
2020,21,154879820
2020,21,154880793
2020,21,158803968
2020,21,158803972
2020,21,158804060
2020,21,158804064
2020,21,158804070
2020,21,158804131
2020,21,158804160
2020,21,158804165
2020,21,158804186
2020,21,145666449
2020,21,158804220
2020,21,158804227
2020,21,158758947
2020,21,158758949
2020,21,158758963
2020,21,158758971
2020,21,158758982
2020,21,158758981
2020,21,158758986
2020,21,158758996
2020,21,158758995
2020,21,158758997
2020,21,158758998
2020,21,158759001
2020,22,158759003
2020,22,158759004
2020,21,158759007
2020,21,158759017
2020,21,158759018
2020,21,158759021
2020,21,158759044
2020,21,158759056
2020,21,158759059
2020,21,158759075
2020,21,158759078
2020,21,158759077
2020,21,158759081
2020,21,158759084
2020,21,158759087
2020,21,158759091
2020,21,158759092
2020,22,158759093
2020,21,158759095
2020,21,158759097
2020,21,158759096
2020,21,158759098
2020,21,158759130
2020,21,144488381
2020,21,144488380
2020,21,144488394
2020,21,144488418
2020,21,149828580
2020,21,149828581
2020,21,149828584
2020,21,149828588
2020,21,149828589
2020,21,149828590
2020,21,149828591
2020,21,149828597
2020,21,149828600
2020,21,149828601
2020,21,149828609
2020,21,149828611
2020,21,149828612
2020,21,149828614
2020,21,149828615
2020,21,149828616
2020,21,145928069
2020,21,145928070
2020,21,145928166
2020,21,145928312
2020,21,148313000
2020,21,148313001
2020,21,148313015
2020,21,148313055
2020,21,148313054
2020,21,148313059
2020,21,148313082
2020,21,148313094
2020,21,148313092
2020,21,148313093
2020,21,148313098
2020,21,148313112
2020,21,153886056
2020,21,153886102
2020,21,153886105
2020,21,153886114
2020,21,144407194
2020,21,144407201
2020,21,144407205
2020,21,144407204
2020,21,144407222
2020,21,144407230
2020,21,144407231
2020,21,144407295
2020,21,144407296
2020,21,144407297
2020,21,156020220
2020,21,156020255
2020,21,145080432
2020,21,148501190
2020,21,148506193
2020,21,148506205
2020,21,148506204
2020,21,147231177
2020,21,147231178
2020,21,147231179
2020,21,151865187
2020,21,151865190
2020,21,151865189
2020,21,151865192
2020,21,151865191
2020,21,151865195
2020,21,151865199
2020,21,151865207
2020,21,151865209
2020,21,151865223
2020,21,151865225
2020,21,151317256
2020,21,151317257
2020,21,145387521
2020,21,145387547
2020,21,149828845
2020,21,149828844
2020,21,149828847
2020,22,149828860
2020,21,149828866
2020,21,149828865
2020,21,149828873
2020,21,149828874
2020,21,149828876
2020,21,149828878
2020,21,149828880
2020,21,149828897
2020,21,149828899
2020,21,149828900
2020,21,149828903
2020,21,149828904
2020,21,149828907
2020,21,149828908
2020,21,149828911
2020,21,149828910
2020,21,149828913
2020,21,149828922
2020,21,149828936
2020,21,149828937
2020,21,149828939
2020,21,149828938
2020,21,149828955
2020,21,149828965
2020,21,149828973
2020,21,149828726
2020,21,149828730
2020,21,149828967
2020,21,149828970
2020,21,149828972
2020,21,149829036
2020,22,149829039
2020,21,149829059
2020,21,149829068
2020,21,149829138
2020,21,149829139
2020,21,144488127
2020,21,144488126
2020,21,144488130
2020,21,148865810
2020,21,149826962
2020,21,148313146
2020,21,148313224
2020,21,148313296
2020,21,148313311
2020,21,148313327
2020,21,148313332
2020,21,148313336
2020,21,148315402
2020,21,151321927
2020,21,151322030
2020,21,155727146
2020,21,155727147
2020,21,155727148
2020,21,155727313
2020,21,155727319
2020,21,155727320
2020,21,155727348
2020,21,155727350
2020,21,155727351
2020,21,155727354
2020,21,155727356
2020,21,155727355
2020,21,155727357
2020,21,155727358
2020,21,155727381
2020,21,144722978
2020,21,145080464
2020,21,145080536
2020,21,145080538
2020,21,145080550
2020,21,145080561
2020,21,145080562
2020,21,145080563
2020,21,145080564
2020,21,145080565
2020,21,145080566
2020,21,145080567
2020,21,145080568
2020,21,145080569
2020,21,145080570
2020,21,145096174
2020,21,145096175
2020,21,144488787
2020,21,144494734
2020,21,146266285
2020,21,146266200
2020,21,146266242
2020,21,146266244
2020,21,146266247
2020,21,146266272
2020,21,146266308
2020,21,146266323
2020,21,146266324
2020,21,146266326
2020,21,146266341
2020,21,146266346
2020,21,146266363
2020,21,146813635
2020,21,146813687
2020,21,146813688
2020,21,146813692
2020,21,146813695
2020,21,146814144
2020,21,148851184
2020,21,148851186
2020,21,148851191
2020,21,148851225
2020,21,148851229
2020,21,148851239
2020,21,148851243
2020,21,148851263
2020,21,144488031
2020,21,144488032
2020,21,144488033
2020,21,144488035
2020,21,144488036
2020,21,148851279
2020,21,144488049
2020,21,144488056
2020,21,148851308
2020,22,148851321
2020,21,148851325
2020,21,148851324
2020,21,148851330
2020,21,144488079
2020,21,144488080
2020,21,148851329
2020,21,144488088
2020,21,144488087
2020,21,144694794
2020,21,144488099
2020,21,144488100
2020,21,144488102
2020,21,144694800
2020,21,144694801
2020,21,144488135
2020,21,144488136
2020,21,148851357
2020,21,144488146
2020,21,144488150
2020,21,144488152
2020,21,144488157
2020,21,148851371
2020,21,148851394
2020,21,144488172
2020,21,148851398
2020,21,144488175
2020,21,144488180
2020,21,144488182
2020,21,148851401
2020,21,144488195
2020,21,144488196
2020,21,144488197
2020,21,144488199
2020,21,148851404
2020,21,144488214
2020,21,144488216
2020,21,144488217
2020,21,144488283
2020,21,144488284
2020,21,144488285
2020,21,148851440
2020,21,144488292
2020,21,148851448
2020,21,144488328
2020,21,144488329
2020,21,144488330
2020,21,144488332
2020,21,148851455
2020,21,148851456
2020,21,148851458
2020,21,148851460
2020,21,144488383
2020,21,148851489
2020,21,144488429
2020,21,144488455
2020,21,144488456
2020,21,144488463
2020,21,148851570
2020,21,148851572
2020,21,149828893
2020,21,149828941
2020,21,149828940
2020,21,149828942
2020,21,149828943
2020,21,149828944
2020,21,149828945
2020,21,149828946
2020,21,149828947
2020,21,149828948
2020,21,149828949
2020,21,149828950
2020,21,149828951
2020,21,149828952
2020,21,149828953
2020,21,149828954
2020,21,149828956
2020,21,149828957
2020,21,149828961
2020,21,149828960
2020,21,149828969
2020,21,149828983
2020,21,149829031
2020,21,149829046
2020,21,149829049
2020,21,149829066
2020,21,149829067
2020,21,149829070
2020,21,149829073
2020,21,149829072
2020,21,149829078
2020,21,149829077
2020,21,149829079
2020,21,144638026
2020,21,144638027
2020,21,144638037
2020,21,144638038
2020,21,144638039
2020,21,144638053
2020,21,144638054
2020,21,144638055
2020,21,144638056
2020,21,144488132
2020,21,144488134
2020,21,147183124
2020,21,147183125
2020,21,147183163
2020,21,147183180
2020,21,147183183
2020,21,147183205
2020,21,149825223
2020,21,149825341
2020,21,149825340
2020,21,149833265
2020,21,149833270
2020,21,149843396
2020,21,148491211
2020,21,148491210
2020,21,148491212
2020,21,148491231
2020,21,148491232
2020,21,148491234
2020,21,159597404
2020,21,159597437
2020,21,159597439
2020,21,159597441
2020,21,159597442
2020,21,159597444
2020,21,148491346
2020,21,159597446
2020,21,159597456
2020,21,159597457
2020,21,159597459
2020,21,159597458
2020,21,159597461
2020,21,159597465
2020,21,159597464
2020,21,159597468
2020,21,159597470
2020,21,159597478
2020,21,159597479
2020,21,159597483
2020,21,159597485
2020,21,159597486
2020,21,159597487
2020,21,159597488
2020,21,159597489
2020,21,159597490
2020,21,159597491
2020,21,159597529
2020,21,159597531
2020,21,159597534
2020,21,159597539
2020,21,159597541
2020,21,159597543
2020,21,159597544
2020,21,159597565
2020,21,159597608
2020,21,159597607
2020,21,159597605
2020,21,159597606
2020,21,159597604
2020,21,159597610
2020,21,159597611
2020,21,159597612
2020,21,159597617
2020,21,159597619
2020,21,159597621
2020,21,159597623
2020,21,159597624
2020,21,159597626
2020,21,159597627
2020,22,159597628
2020,21,159597633
2020,21,159597635
2020,21,159597637
2020,21,159597638
2020,21,159597639
2020,21,159597640
2020,21,147212916
2020,21,147328016
2020,21,147328018
2020,21,148356209
2020,21,148356210
2020,21,148356251
2020,21,148356252
2020,21,148356253
2020,21,148356358
2020,21,148356359
2020,21,148356388
2020,21,148356389
2020,21,148356405
2020,21,148356407
2020,21,148356411
2020,21,147171215
2020,21,147201286
2020,21,147171258
2020,21,147171283
2020,21,147171284
2020,21,147171289
2020,21,147201175
2020,21,147201176
2020,21,147201185
2020,21,147201186
2020,21,147201196
2020,21,147171189
2020,21,157635238
2020,21,157635545
2020,21,156843092
2020,21,156843094
2020,21,156843099
2020,21,156843100
2020,21,156843109
2020,21,156843112
2020,21,156843113
2020,21,156843114
2020,21,156843116
2020,21,156843117
2020,21,156843124
2020,21,156843130
2020,21,156843135
2020,21,156843141
2020,21,156843146
2020,21,156843152
2020,22,156843154
2020,22,156843158
2020,21,156843219
2020,21,156843248
2020,21,156843256
2020,21,154792620
2020,21,154792800
2020,21,154792864
2020,21,147209074
2020,21,156853131
2020,21,156853136
2020,21,156853330
2020,21,155746196
2020,21,155746210
2020,21,155746209
2020,21,155746211
