"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91192020,9119,2020,"MN0021300","MN0021300","","N","N",,"I","RAMSEY","RAMSEY PD ANOKA","Ramsey","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",28205,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",23,0,23,4,3,7,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91212020,9121,2020,"MN0021500","MN0021500","","N","N",,"I","ST. FRANCIS","ST FRANCIS PD","St. Francis","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",7997,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,0,11,1,3,4,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91222020,9122,2020,"MN0030000","MN0030000","","N","N",,"I","BECKER","BECKER CO SO DETROIT LAKES","Becker","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",22220,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",22,22,44,1,19,20,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91232020,9123,2020,"MN0030100","MN0030100","","N","N",,"I","DETROIT LAKES","DETROIT LAKES PD","Detroit Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",9352,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,1,2,3,0,0,01-JUN-16,01-FEB-17,01-JAN-18,01-JAN-18,01-JAN-18,01-JAN-18,"N","BECKER","Non-MSA","Y","Y","Y"
91242020,9124,2020,"MN0040000","MN0040000","","N","N",,"I","BELTRAMI","BELTRAMI CO SO BEMIDJI","Beltrami","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",30908,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",29,33,62,3,19,22,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-SEP-20,"N","BELTRAMI","Non-MSA","Y","Y","Y"
91252020,9125,2020,"MN0040100","MN0040100","","N","N",,"I","BEMIDJI","BEMIDJI PD","Bemidji","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",15567,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",31,1,32,3,2,5,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-SEP-20,"N","BELTRAMI","Non-MSA","Y","Y","Y"
91262020,9126,2020,"MN0040200","MN0040200","","N","N",,"I","BLACKDUCK","BLACKDUCK PD","Blackduck","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",839,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JUN-16,01-SEP-20,01-SEP-20,01-SEP-20,01-SEP-20,01-SEP-20,"N","BELTRAMI","Non-MSA","Y","Y","Y"
91272020,9127,2020,"MN0050000","MN0050000","","N","N",,"I","BENTON","BENTON CO SO FOLEY","Benton","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",13499,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",24,18,42,1,27,28,0,0,01-JUN-16,01-APR-20,01-APR-20,01-APR-20,01-APR-20,01-APR-20,"N","BENTON","St. Cloud, MN","Y","Y","Y"
91282020,9128,2020,"MN0050200","MN0050200","","N","N",,"I","SAUK RAPIDS","SAUK RAPIDS PD","Sauk Rapids","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",14300,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,1,1,2,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-APR-20,"N","BENTON","St. Cloud, MN","Y","Y","Y"
91292020,9129,2020,"MN0060000","MN0060000","","N","N",,"I","BIG STONE","BIG STONE","Big Stone","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",3176,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",5,0,5,0,2,2,0,0,01-JUN-16,01-MAY-20,01-MAY-20,01-MAY-20,01-MAY-20,01-MAY-20,"N","BIG STONE","Non-MSA","Y","Y","Y"
