"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,38399511,1,38474937
2020,38269927,1,38330359
2020,38270623,1,38331057
2020,38270624,1,38331058
2020,38270804,1,38331238
2020,38651749,1,38728523
2020,38252925,1,38313339
2020,39477031,1,39686151
2020,38252931,1,38313345
2020,38253418,1,38313833
2020,38253427,1,38313842
2020,38270758,1,38331192
2020,39477069,1,39686189
2020,39477068,1,39686188
2020,38399512,1,38474938
2020,38399513,1,38474939
2020,38431880,1,38507295
2020,38432166,1,38507581
2020,38432195,1,38507610
2020,38467220,1,38542578
2020,39477118,1,39686238
2020,39477123,1,39686243
2020,38196836,1,38257264
2020,40190103,1,40520662
2020,40211523,7,40532755
2020,38431059,1,38506472
2020,40230110,1,40540540
2020,40230130,1,40540560
2020,38841376,1,39001816
2020,38841378,1,39001818
2020,38841392,1,39001832
2020,38841394,1,39001834
2020,38841395,1,39001835
2020,38841396,1,39001836
2020,38207231,1,38267657
2020,38217758,1,38278154
2020,40230167,7,40540597
2020,40230203,1,40540633
2020,38244377,1,38304768
2020,38252946,1,38313360
2020,38270030,1,38330462
2020,38274515,1,38354941
2020,40922454,1,41308173
2020,40929575,1,41315001
2020,40929889,1,41315318
2020,40929953,1,41315382
2020,40930043,1,41315472
2020,40930079,1,41315508
2020,40930080,1,41315509
2020,38396446,1,38472369
2020,38399887,1,38475314
2020,38399908,1,38475335
2020,38269929,1,38330361
2020,38270615,1,38331049
2020,38269928,1,38330360
2020,39855082,1,40165976
2020,38841380,1,39001820
2020,38841463,1,39001903
2020,38841464,1,39001904
2020,38841466,1,39001906
2020,38841468,1,39001908
2020,38841571,1,39002012
2020,38841537,1,39001977
2020,38841595,1,39002036
2020,38841598,1,39002039
2020,38270025,1,38330457
2020,38270795,1,38331229
2020,38270802,1,38331236
2020,38270803,1,38331237
2020,40219508,1,40532892
2020,40229552,1,40539978
2020,40229969,1,40540399
2020,40229968,1,40540398
2020,40229987,1,40540417
2020,40230034,7,40540464
2020,40230036,1,40540466
2020,40230035,1,40540465
2020,38983472,1,39199228
2020,38841255,1,39001695
2020,38841260,1,39001700
2020,38841393,1,39001833
2020,38841421,1,39001861
2020,38841457,1,39001897
2020,38841455,1,39001895
2020,38841456,1,39001896
2020,38841460,1,39001900
2020,38841459,1,39001899
2020,38841462,1,39001902
2020,38841465,1,39001905
2020,38841469,1,39001909
2020,38841470,1,39001910
2020,38841484,1,39001924
2020,38841494,1,39001934
2020,38841591,1,39002032
2020,38841592,1,39002033
2020,38841594,1,39002035
2020,38841513,3,39001953
2020,38841514,1,39001954
2020,38841519,8,39001959
2020,38841518,1,39001958
2020,38841545,1,39001986
2020,38841547,1,39001988
2020,38841546,1,39001987
2020,38841567,1,39002008
2020,38841209,1,39001649
2020,38841450,1,39001890
2020,38841451,1,39001891
2020,38841568,1,39002009
2020,38841569,1,39002010
2020,38841593,1,39002034
2020,38841596,1,39002037
2020,38841597,1,39002038
2020,38841600,1,39002041
2020,38137149,1,38218532
2020,38138437,1,38219824
2020,38173352,1,38245149
2020,39855265,1,40166159
2020,39859751,1,40166412
2020,39859752,1,40166413
2020,40575719,1,40911258
2020,40575733,8,40911272
2020,40575740,1,40911279
2020,38651640,1,38728414
2020,40575908,7,40911447
2020,40575909,8,40911448
2020,38170775,1,38237568
2020,40111406,1,40456979
2020,38138667,6,38230054
2020,38138668,1,38230055
2020,38170842,1,38237635
2020,38170803,1,38237596
2020,38171323,1,38238117
2020,39234799,1,39458644
2020,38430853,1,38506264
2020,38270002,1,38330434
2020,38270003,1,38330435
2020,38270026,1,38330458
2020,38270136,1,38330568
2020,38270145,1,38330577
2020,38270157,1,38330589
2020,38270183,1,38330615
2020,38270188,1,38330620
2020,38270191,1,38330623
2020,38270399,1,38330831
2020,38270404,1,38330836
2020,38270405,1,38330837
2020,38270406,1,38330838
2020,38270409,1,38330841
2020,38270411,1,38330843
2020,38270413,1,38330845
2020,38270416,1,38330848
2020,38270418,1,38330850
2020,38270419,1,38330851
2020,38270417,1,38330849
2020,38270421,1,38330853
2020,38270521,1,38330955
2020,38270627,1,38331061
2020,38270695,1,38331129
2020,38270696,1,38331130
2020,38270773,1,38331207
2020,38270809,1,38331243
2020,38271628,1,38332064
2020,38271661,1,38339937
2020,39079527,1,39299953
2020,39079531,1,39299957
2020,39079532,1,39299958
2020,39079536,1,39299962
2020,39079540,1,39299966
2020,38137481,1,38218865
2020,38137482,1,38218866
2020,38137484,1,38218868
2020,38137485,1,38218869
2020,38137486,1,38218870
2020,38137487,1,38218871
2020,38137526,1,38218910
2020,38137527,1,38218911
2020,38137549,1,38218933
2020,38137808,1,38219195
2020,38139115,1,38230502
2020,38170335,1,38237128
2020,38170337,1,38237130
2020,38170770,1,38237563
2020,38170773,3,38237566
2020,38170772,1,38237565
2020,38170789,1,38237582
2020,39079616,1,39300042
2020,39079615,1,39300041
2020,39079627,1,39300053
2020,39079634,1,39300060
2020,39079636,1,39300062
2020,39079635,1,39300061
2020,39079637,1,39300063
2020,38171275,1,38238069
2020,38651639,1,38728413
2020,38651708,1,38728482
2020,38563544,1,38643869
2020,38475409,1,38555746
2020,38475416,1,38555753
2020,40129508,1,40469934
2020,38475579,1,38555916
2020,40111148,1,40456721
2020,40111408,1,40456981
2020,40111587,1,40457160
2020,38466503,1,38541861
2020,38466502,1,38541860
2020,38513675,1,38594017
2020,38196117,1,38256544
2020,38206709,1,38267136
2020,38206708,7,38267135
2020,38206732,1,38267159
2020,38513690,1,38594032
2020,38512933,1,38593282
2020,38571019,1,38651327
2020,38571020,1,38651328
2020,38571021,1,38651329
2020,38571023,1,38651331
2020,38571054,1,38651362
2020,41676551,1,42078774
2020,41676821,1,42079044
2020,38171374,7,38238168
2020,38252954,1,38313368
2020,38253010,1,38313424
2020,38260275,1,38325031
2020,38270000,1,38330432
2020,38270001,1,38330433
2020,41677975,1,42080982
2020,41678023,1,42081030
2020,41678142,1,42081149
2020,38752121,1,38907621
2020,38752137,1,38907637
2020,38752138,1,38907638
2020,41021510,1,41402084
2020,41021515,1,41402089
2020,38456581,1,38531950
2020,38456583,3,38531952
2020,40188811,1,40519369
2020,38137191,1,38218574
2020,38170824,1,38237617
2020,38269998,1,38330430
2020,38250770,1,38311174
2020,38263134,1,38323551
2020,38137480,1,38218864
