"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,147793165,10,
2020,141526632,1,
2020,141526634,9,
2020,141526635,9,
2020,148289613,1,
2020,148289641,1,
2020,148432385,9,
2020,144420429,10,
2020,144420430,10,
2020,144420431,10,
2020,144432038,1,
2020,144677937,9,
2020,144697590,10,
2020,146348494,9,
2020,144696404,1,
2020,144696429,10,
2020,144440682,6,
2020,146749426,1,
2020,144694665,10,
2020,144696561,9,
2020,144617258,10,
2020,142037113,10,
2020,144441155,10,
2020,144738859,9,
2020,144739231,1,
2020,144441160,1,
2020,146741690,6,
2020,144275643,1,
2020,144238150,9,
2020,144223572,6,
2020,144238150,1,
2020,144263038,2,
2020,144793984,1,
2020,144785786,10,
2020,144794099,1,
2020,144804398,10,
2020,144963229,10,
2020,144963436,9,
2020,144963437,9,
2020,144964159,1,
2020,145007612,9,
2020,145988087,6,
2020,143532440,1,
2020,148833772,9,
2020,148833783,10,
2020,144738569,1,
2020,144738568,1,
2020,148679618,1,
2020,148679867,1,
2020,148679866,1,
2020,148679868,1,
2020,148817995,1,
2020,148818886,2,
2020,148818887,2,
2020,148908928,10,
2020,148908929,10,
2020,148432003,2,
2020,148432203,10,
2020,149075869,8,
2020,149075872,8,
2020,149075871,8,
2020,146664466,1,
2020,146664465,1,
2020,148679628,9,
2020,148291139,6,
2020,148679370,1,
2020,148819558,10,
2020,144440793,2,
2020,144440792,9,
2020,144734226,9,
2020,144738897,6,
2020,142037450,1,
2020,142037449,1,
2020,143737447,9,
2020,144032452,6,
2020,144032525,1,
2020,144218479,9,
2020,144223468,2,
2020,144032050,1,
2020,144265266,10,
2020,144130050,6,
2020,144031895,1,
2020,144032211,1,
2020,144032524,1,
2020,144786820,9,
2020,144999484,1,
2020,144130360,1,
2020,144233988,1,
2020,144234154,2,
2020,144265256,6,
2020,144238577,9,
2020,145555092,9,
2020,144264974,6,
2020,144275513,9,
2020,145321235,6,
2020,145554843,6,
2020,145560041,1,
2020,145560759,6,
2020,145561033,6,
2020,145568638,6,
2020,145568638,9,
2020,149088655,9,
2020,149088654,9,
2020,149088765,8,
2020,149088780,6,
2020,142003068,6,
2020,142003132,6,
2020,148679536,10,
2020,142847727,9,
2020,142854115,10,
2020,142854126,6,
2020,142878880,6,
2020,144623112,1,
2020,144663025,6,
2020,142724331,1,
2020,147446140,1,
2020,147446167,1,
2020,147856100,6,
2020,147468860,8,
2020,147856107,1,
2020,142043474,1,
2020,142007626,6,
2020,142422507,1,
2020,149077370,9,
2020,149077369,2,
2020,149075888,1,
2020,149075889,1,
2020,149076042,10,
2020,149079581,10,
2020,149089439,9,
2020,149089440,10,
2020,149176300,6,
2020,149289915,10,
2020,146324710,9,
2020,146498349,6,
2020,147506229,6,
2020,144377005,1,
2020,142006989,10,
2020,142007004,9,
2020,142026321,1,
2020,149188352,1,
2020,149279717,10,
2020,149272440,1,
2020,149272440,6,
2020,149279721,6,
2020,149280090,10,
2020,149280089,10,
2020,144663678,10,
2020,144663677,10,
2020,144663679,10,
2020,144735389,6,
2020,149076719,1,
2020,144617394,1,
2020,146610866,1,
2020,149272254,10,
2020,149272252,10,
2020,149272253,10,
2020,149272255,10,
2020,149272250,10,
2020,149272247,10,
2020,149272248,10,
2020,149272249,10,
2020,149272251,10,
2020,142843149,10,
2020,142854113,10,
2020,142854541,10,
2020,142854542,10,
2020,142879028,1,
2020,144696176,10,
2020,144696177,9,
2020,144696177,6,
2020,149088891,1,
2020,142871196,9,
2020,142854237,6,
2020,142879048,1,
2020,142879051,1,
2020,142879049,1,
2020,142879047,1,
2020,142879054,6,
2020,142880738,9,
2020,144342321,1,
2020,146882337,10,
2020,149272874,16,
2020,149293883,10,
2020,149293884,10,
2020,146611194,1,
2020,146611194,6,
2020,144591497,1,
2020,143008241,6,
2020,144275119,10,
2020,144784394,9,
2020,144784863,2,
2020,144789711,10,
2020,143561159,2,
2020,143693754,1,
2020,144275134,6,
2020,143737467,17,
2020,143901584,9,
2020,143585424,9,
2020,143586379,1,
2020,144264518,10,
2020,143586480,10,
2020,143586524,6,
2020,143594022,1,
2020,144264516,10,
2020,144218459,9,
2020,144265410,1,
2020,144223698,6,
2020,144223697,6,
2020,144234108,6,
2020,144275118,10,
2020,144275425,10,
2020,145214105,6,
2020,144240010,5,
2020,145464429,1,
2020,145466007,1,
2020,141668388,10,
2020,143693037,10,
2020,143693765,1,
2020,144266286,1,
2020,144219409,10,
2020,144234058,6,
2020,141608712,9,
2020,141608710,9,
2020,141608711,9,
2020,144234111,10,
2020,144262916,10,
2020,144262914,10,
2020,144262915,10,
2020,141655207,6,
2020,144275586,1,
2020,141647442,6,
2020,141647441,6,
2020,141647740,9,
2020,141655208,6,
2020,144663258,6,
2020,144696065,2,
2020,144696283,6,
2020,144696283,1,
2020,144696529,9,
2020,144696528,9,
2020,144696530,9,
2020,144738042,6,
2020,143018230,9,
2020,143565409,10,
2020,143567417,6,
2020,143567417,1,
2020,143567418,1,
2020,143567418,6,
2020,143586375,9,
2020,143586376,9,
2020,143586374,9,
2020,149280084,1,
2020,147953211,10,
2020,148266605,10,
2020,148152285,3,
2020,147481225,10,
2020,147481249,1,
2020,148432534,1,
2020,148679535,10,
2020,148679537,10,
2020,148679538,10,
2020,148679541,10,
2020,148679604,10,
2020,148679606,10,
2020,148679602,4,
2020,148679603,4,
2020,148679605,10,
2020,148679609,10,
2020,148833691,6,
2020,143017984,1,
2020,143567270,1,
2020,143567269,1,
2020,143606213,6,
2020,143507263,10,
2020,145622127,9,
2020,141843824,9,
2020,142850916,1,
2020,145748257,6,
2020,145916178,10,
2020,145914569,6,
2020,146615201,9,
2020,146615202,9,
2020,146743716,1,
2020,146799005,10,
2020,146786018,9,
2020,146786019,9,
2020,146789358,10,
2020,146791626,10,
2020,146797983,10,
2020,146800806,6,
2020,141949513,1,
2020,141949512,1,
2020,141949511,1,
2020,141949515,10,
2020,142009096,1,
2020,141971434,9,
2020,141972384,10,
2020,141972385,10,
2020,141978604,10,
2020,141982259,10,
2020,141982260,10,
2020,142008257,6,
2020,142041085,1,
2020,146614860,10,
2020,146615451,10,
2020,146615452,10,
2020,146615454,10,
2020,146615453,10,
2020,146736672,9,
2020,149287665,6,
2020,143731251,1,
2020,141599722,6,
2020,141879683,6,
2020,144780322,10,
2020,143895606,1,
2020,143731281,6,
2020,143731407,1,
2020,144036127,3,
2020,144036277,6,
2020,143731406,1,
2020,143731511,6,
2020,143731634,1,
2020,144133838,10,
2020,144036281,6,
2020,144216904,10,
2020,144216905,10,
2020,144216980,4,
2020,144133837,10,
2020,144214129,1,
2020,144303627,1,
2020,146655430,10,
2020,141649664,17,
2020,141843268,1,
2020,141843268,6,
2020,141980531,1,
2020,141988192,1,
2020,142040256,9,
2020,142040257,1,
2020,142229409,1,
2020,142362805,1,
2020,142373039,1,
2020,142713880,6,
2020,142714352,1,
2020,142754788,10,
2020,142754725,10,
2020,142754726,10,
2020,142754787,10,
2020,142764765,2,
2020,142765909,1,
2020,141878812,1,
2020,141878811,1,
2020,141878813,1,
