"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,20,159727641,32834520
2020,18,159727827,32834544
2020,22,159727959,32834572
2020,3,159727984,32834578
2020,20,159728092,32834592
2020,20,159728102,32834593
2020,12,159728159,32834605
2020,20,159728587,32834718
2020,3,159728667,32834741
2020,6,159728773,32851762
2020,12,163535006,33796452
2020,12,163535007,33796453
2020,3,163535008,33796454
2020,12,163535039,33796466
2020,3,163535069,33796473
2020,3,163535070,33796474
2020,12,160496174,33051212
2020,3,163535071,33796475
2020,12,163535073,33796477
2020,12,160496792,33051298
2020,12,160496793,33051299
2020,2,160496811,33051305
2020,2,160496810,33051304
2020,12,159936585,32913880
2020,2,161090050,33189260
2020,12,161090296,33189310
2020,12,161619483,33327886
2020,21,161620515,33328079
2020,12,161620693,33328090
2020,22,162404889,33531104
2020,3,162404897,33531108
2020,3,162406152,33531323
2020,12,161890418,33407885
2020,2,161519923,33292873
2020,2,161519925,33292874
2020,21,161632692,33336878
2020,12,161633245,33336975
2020,11,161642295,33351781
2020,12,161653544,33352329
2020,12,162161723,33466470
2020,12,158801803,32561175
2020,12,158801804,32561176
2020,12,158847197,32569596
2020,19,158803908,32561559
2020,12,158846552,32569408
2020,12,158917269,32590308
2020,20,160001715,32925856
2020,19,162945671,33658538
2020,3,162945874,33658571
2020,9,161563783,33314427
2020,3,161563783,33314426
2020,19,162279031,33506793
2020,20,158835931,32569280
2020,3,158846481,32569394
2020,2,158919393,32590675
2020,10,158919468,32590695
2020,12,158925242,32597162
2020,12,159790077,32873118
2020,12,159790088,32873120
2020,12,159790522,32873198
2020,3,158570954,32509810
2020,12,160922992,33154697
2020,12,160037493,32935225
2020,9,160037503,32935230
2020,19,161622216,33328456
2020,19,161623242,33328682
2020,9,161631325,33331772
2020,20,161632935,33336927
2020,20,161633117,33336960
2020,18,161633124,33336961
2020,12,161633207,33336969
2020,3,161633258,33336977
2020,10,161100520,33190515
2020,12,161938758,33410521
2020,19,161938770,33410525
2020,3,161939393,33410692
2020,12,161946805,33411368
2020,20,161946828,33411375
2020,12,161949414,33417123
2020,9,161949419,33417127
2020,3,161949420,33417128
2020,19,161949423,33417129
2020,2,161949425,33417130
2020,12,161949427,33417131
2020,16,161949448,33417142
2020,3,161949454,33417146
2020,2,161949455,33417147
2020,20,158882987,32582871
2020,3,162278953,33496759
2020,22,162278960,33506762
2020,20,163026887,33682895
2020,12,163027359,33682978
2020,3,161889978,33407768
2020,3,161890352,33407853
2020,12,161662158,33352973
2020,18,161662158,33352974
2020,9,161662185,33352983
2020,12,161662286,33353000
2020,11,161662445,33353019
2020,20,160633766,33087297
2020,20,160636385,33087349
2020,3,160636399,33087354
2020,20,161562270,33313991
2020,18,160067289,32944486
2020,12,161642088,33347491
2020,12,161642109,33347495
2020,12,161642167,33347507
2020,12,161642231,33351769
2020,3,158884764,32583189
2020,12,158802296,32561302
2020,3,161015799,33176619
2020,12,158800946,32560936
2020,6,161889981,33407770
2020,3,162560539,33565053
2020,9,162560557,33565060
2020,3,162560630,33565073
2020,12,162560716,33565092
2020,12,162560717,33565093
2020,12,162560718,33565094
2020,19,162560722,33565098
2020,19,162560721,33565097
2020,12,158846655,32569427
2020,12,158846658,32569428
2020,12,158846925,32569549
2020,12,158801998,32561230
2020,20,159822929,32880269
2020,18,159823249,32880358
2020,12,159825070,32880791
2020,3,159825081,32880793
2020,18,159832531,32881319
2020,12,159826155,32881088
2020,12,159831573,32881153
2020,12,159831701,32881180
2020,3,159831746,32881190
2020,18,159831857,32881203
2020,12,159832050,32881252
2020,20,159832486,32881311
2020,12,159832876,32881389
2020,12,159833802,32881637
2020,3,161563165,33314258
2020,12,161563282,33314294
2020,12,161563289,33314296
2020,20,160141544,32958031
2020,19,160141997,32958125
2020,3,160144252,32958687
2020,12,160144327,32958701
2020,18,160145956,32959002
2020,12,160145962,32959006
2020,3,160147248,32959185
2020,3,160147396,32959204
2020,20,160147412,32959207
2020,20,161662035,33352950
2020,20,161662036,33352951
2020,20,161662137,33352970
2020,10,161662140,33352972
2020,20,161662167,33352977
2020,20,161662173,33352979
2020,12,161662179,33352981
2020,20,161662203,33352984
2020,12,161662276,33352998
2020,12,161662282,33352999
2020,19,161662305,33353003
2020,20,158393658,32447586
2020,22,158370226,32423204
2020,20,158370246,32423207
2020,2,158402120,32448281
2020,9,158393084,32447357
2020,10,158393184,32447407
2020,12,158393688,32447594
2020,2,158393761,32447618
2020,6,158402119,32448280
2020,2,158402123,32448284
2020,2,158402126,32448286
2020,2,158402129,32448289
2020,2,158402131,32448291
2020,12,158450717,32479569
2020,2,158404334,32448806
2020,12,158404348,32448809
2020,3,158404636,32448902
2020,19,158502762,32485619
2020,12,158431266,32461792
2020,6,158450726,32479578
2020,12,158404694,32448920
2020,3,158405144,32449021
2020,3,158405145,32449022
2020,12,158405329,32449080
2020,12,158415067,32450017
2020,12,158415073,32450021
2020,5,158415153,32450043
2020,3,158415164,32450048
2020,3,158415588,32450133
2020,3,158415594,32450137
2020,3,158415593,32450136
2020,2,158416448,32450309
2020,10,158416718,32450344
2020,12,158416739,32450347
2020,12,158416744,32450349
2020,9,158503274,32485741
2020,12,158450732,32479580
2020,20,158502105,32485450
2020,12,158502791,32485636
2020,12,158502822,32485644
2020,12,158503211,32485735
2020,12,158503320,32485745
2020,20,162278524,33496683
2020,3,162278906,33496741
2020,2,162278949,33496758
2020,3,162278968,33506768
2020,3,162278974,33506773
2020,12,162278981,33506775
2020,22,162278985,33506778
2020,22,162278983,33506777
2020,3,162279014,33506789
2020,12,162279039,33506796
2020,9,162279041,33506798
2020,3,162279052,33506802
2020,2,162400042,33530233
2020,12,162400045,33530236
2020,12,160912056,33153366
2020,12,160922135,33154502
2020,12,160922188,33154515
2020,3,160922202,33154517
2020,18,160922625,33154629
2020,12,160922911,33154679
2020,12,160923183,33154719
2020,12,160924602,33155043
2020,19,159903905,32906059
2020,12,159904158,32906142
2020,2,159904280,32906180
2020,12,159904316,32906192
2020,12,159930342,32913608
2020,20,159930366,32913619
2020,12,159930537,32913671
2020,12,159930578,32913689
2020,9,159936219,32913803
2020,12,159936328,32913821
2020,3,159936427,32913845
2020,20,159937173,32913952
2020,10,159937221,32913964
2020,20,159937222,32913965
2020,18,159937238,32913969
2020,20,159937249,32913973
2020,20,159937276,32913976
2020,12,159937352,32913993
2020,12,159937436,32914003
2020,10,159937931,32914071
2020,12,159937934,32914072
2020,12,159938000,32914090
2020,12,159938002,32914091
2020,12,158800324,32560719
2020,18,161609425,33326897
2020,12,158922273,32591301
2020,3,162474564,33548560
2020,12,160912940,33153574
2020,3,160913031,33153587
2020,12,161534695,33297431
2020,3,161341984,33247911
2020,3,161341989,33247917
2020,3,161341988,33247916
2020,14,161563432,33314339
2020,12,159862813,32895839
2020,25,159864396,32896317
2020,12,159864444,32896330
2020,12,159864443,32896329
2020,12,159864762,32896423
2020,20,159903930,32906064
2020,12,159903933,32906065
2020,3,159903933,32906066
2020,12,159904231,32906170
2020,12,159904283,32906182
2020,12,159904355,32906198
2020,12,159904470,32906214
2020,20,159930421,32913638
2020,9,159930531,32913669
2020,12,159936704,32913924
2020,20,159936780,32913931
2020,12,159937147,32913949
2020,20,159938515,32914150
2020,2,160001744,32925859
2020,22,160001892,32925883
2020,19,160040721,32936158
2020,20,159151201,32667667
2020,12,158369072,32423023
2020,12,158369074,32423025
2020,9,158383983,32441767
2020,20,161618767,33327718
2020,5,161621752,33328354
2020,9,161890513,33407914
2020,12,161890530,33407924
2020,20,161890543,33407934
2020,3,161890546,33407936
2020,12,161890551,33407938
2020,12,161938735,33410509
2020,22,161938756,33410520
2020,12,161939039,33410612
2020,3,161939369,33410687
2020,3,161939368,33410686
2020,18,159862469,32895756
2020,12,159864263,32896262
2020,20,159937190,32913956
2020,22,159937361,32913995
2020,20,159937468,32914010
2020,12,159937475,32914012
2020,18,159938133,32914105
2020,20,161090856,33189416
2020,12,162416901,33531517
2020,12,162417685,33531665
2020,12,160876599,33147392
2020,20,160876744,33147403
2020,2,160001694,32925843
2020,2,160002005,32925905
2020,3,160002097,32925926
2020,12,160002100,32925927
2020,9,162406162,33531328
2020,20,160877677,33147627
2020,3,160785331,33128798
2020,12,160785334,33128800
2020,2,160785412,33128817
2020,12,160786029,33128971
2020,12,160786031,33128972
2020,3,160786040,33128977
2020,20,161642094,33347493
2020,12,161642108,33347494
2020,17,161642110,33347496
2020,12,161642113,33347497
2020,19,161662244,33352993
2020,20,161662352,33353013
2020,19,160922660,33154633
2020,3,160970483,33166519
2020,18,161031311,33177834
2020,3,161021662,33176790
2020,2,161031363,33177848
2020,9,161031739,33177937
2020,2,161031885,33177977
2020,2,161031887,33177978
2020,3,161031893,33177980
2020,9,161032124,33178039
2020,18,161032124,33178038
2020,12,161938744,33410514
2020,2,161938755,33410519
2020,4,160046352,32936340
2020,2,160046353,32936341
2020,12,161633067,33336952
2020,12,161642199,33351764
2020,20,161642275,33351778
2020,10,161642293,33351779
2020,5,161662170,33352978
2020,20,161662181,33352982
2020,9,161662159,33352975
2020,12,161662159,33352976
2020,18,161662216,33352986
2020,12,161662218,33352987
2020,20,161662296,33353002
2020,2,161662487,33353023
2020,23,161662487,33353024
2020,19,161662543,33353033
2020,3,158370361,32423234
2020,12,159633079,32796349
2020,12,159633088,32796350
2020,20,159633454,32806762
2020,2,159633455,32806763
2020,2,159633456,32806764
2020,6,159904862,32906340
2020,12,160650937,33090056
2020,12,158393210,32447418
2020,9,158393210,32447417
2020,22,158393521,32447554
2020,3,158415169,32450050
2020,12,158431208,32461773
2020,20,158393925,32447653
2020,12,158404989,32448974
2020,20,158431205,32461771
2020,20,158520362,32498259
2020,12,158520423,32498268
2020,20,158405124,32449006
2020,2,158405225,32449037
2020,18,158415105,32450030
2020,4,158415216,32450064
2020,4,158415272,32450077
2020,5,158415275,32450078
2020,5,158415276,32450079
2020,4,158415277,32450080
2020,12,158415590,32450135
2020,4,158416221,32450273
2020,9,158416232,32450277
2020,2,158431206,32461772
2020,12,158431212,32461774
2020,2,158431220,32461778
2020,20,158502604,32485556
2020,20,158502652,32485564
2020,3,158503172,32485732
2020,20,158503213,32485737
2020,3,158518953,32497924
2020,2,158519037,32497955
2020,12,158520276,32498253
2020,18,158801784,32561164
2020,3,158576565,32509955
2020,12,158576613,32509971
2020,12,158576623,32509979
2020,12,158576624,32509980
2020,12,158801443,32561069
2020,12,158801720,32561149
2020,20,158801787,32561165
2020,20,160002076,32925918
2020,12,161308488,33239837
2020,12,158936476,32611787
2020,20,158393676,32447591
2020,2,160039828,32936020
2020,12,160039828,32936021
2020,4,160040593,32936123
2020,12,160046245,32936316
2020,22,160046245,32936315
2020,3,161890388,33407869
2020,3,161890387,33407868
2020,20,160930110,33156216
2020,20,161332521,33247010
2020,20,161333190,33247152
2020,12,158369178,32423046
2020,12,161332110,33246929
2020,20,161633019,33336941
2020,20,161642564,33351815
2020,12,161947952,33411713
2020,12,161032788,33178166
2020,20,161082323,33187943
2020,3,161086959,33188828
2020,3,159631223,32796023
2020,12,159718291,32833377
