"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,126105391,33.5,1,14413266
2020,16,126535387,35.75,9,14467340
2020,17,126285292,,,14430724
2020,13,126285293,,,14430725
2020,12,126535081,4.21,1,14467305
2020,5,126535083,4.42,1,14467306
2020,12,124415435,1.2,1,13831143
2020,5,126538456,207.1,1,14472890
2020,12,126096703,1,11,14412798
2020,12,126096715,1,11,14412803
2020,5,126096718,1,11,14412804
2020,8,134017327,111,9,15981682
2020,5,126105628,10.4,1,14413273
2020,5,134018504,34,1,15981843
2020,5,134018505,34,9,15981844
2020,12,134018494,27,1,15981842
2020,12,134008083,1,1,15981198
2020,12,134008106,0,1,15981201
2020,5,134008123,1,11,15981209
2020,17,134017327,12,9,15981683
2020,5,134018594,0.1,1,15981850
2020,1,126132223,0,1,14415770
2020,5,126285483,4.5,1,14430750
2020,12,124923438,3.79,1,13953014
2020,5,126263666,1,1,14429050
2020,12,126263666,1,1,14429049
2020,5,126286152,20.84,1,14430871
2020,5,124930259,1,11,13954106
2020,12,126324300,6.5,1,14443787
2020,5,126330241,1,11,14443963
2020,5,126330243,1,11,14443965
2020,5,126330246,1,11,14443968
2020,12,126329921,35,1,14443909
2020,4,126330250,1,11,14443970
2020,12,126331154,14.03,1,14444094
2020,5,126331191,458.23,1,14444098
2020,5,125809984,5,1,14304738
2020,5,125836902,1,1,14306165
2020,17,125928329,1,11,14332336
2020,5,125928329,12.8,1,14332337
2020,12,126000030,2.301,1,14344294
2020,12,126000032,8.8,1,14344295
2020,5,126058463,1,11,14380795
2020,4,126058786,1,11,14380837
2020,12,126285462,3.45,1,14430745
2020,5,127788172,1,11,14683340
2020,12,126694582,0.93,1,14502473
2020,12,127788232,1,11,14683358
2020,12,127788234,1,11,14683361
2020,4,126285467,0.25,1,14430747
2020,17,126285467,1,9,14430746
2020,12,126286140,0.53,1,14430868
2020,12,126286146,1.27,1,14430869
2020,4,126323634,3,1,14443710
2020,5,126331160,3.98,1,14444095
2020,12,126286148,1,3,14430870
2020,12,130620075,4.5,1,15192128
2020,8,126273522,6,9,14429877
2020,13,126709578,76,9,14507472
2020,8,126709578,2,9,14507473
2020,5,126709680,38,9,14507497
2020,5,126709680,86.01,1,14507498
2020,12,126711056,6.2,1,14507749
2020,5,126711062,1,11,14507750
2020,12,126711099,1,11,14507754
2020,5,126057470,26.9,1,14380633
2020,7,125747120,2,9,14209715
2020,5,125837136,1,11,14306245
2020,5,125835416,5.23,1,14305842
2020,4,125849797,0,1,14322509
2020,12,125993918,1,11,14344083
2020,4,131259024,0.18,1,15373388
2020,2,131259187,0.345,1,15373414
2020,5,132555119,7,1,15702566
2020,5,132555242,99,1,15702572
2020,11,132555518,18,9,15702606
2020,12,125850130,0,1,14322551
2020,5,127220362,0.05,1,14577930
2020,11,127220362,4.84,1,14577929
2020,12,127220362,0.88,1,14577928
2020,5,126285612,,,14430766
2020,12,126286629,1,11,14431020
2020,5,126286758,,,14431049
2020,5,126287480,1,11,14431204
2020,5,125837068,1,1,14306205
2020,16,125837068,0,1,14306204
2020,5,125928362,0.67,1,14332343
2020,5,125999960,2,1,14344268
2020,5,125837149,23,1,14306248
2020,16,125849759,1,1,14322503
2020,5,125849768,12,1,14322504
2020,5,125903046,1,11,14331104
2020,17,126000099,1,11,14344305
2020,5,126058731,0.001,1,14380833
2020,12,126058731,0.001,1,14380832
2020,5,135750324,10,1,16259291
2020,17,135750324,1,11,16259292
2020,1,135750360,13.1,1,16259299
2020,5,135750720,1,11,16259373
2020,8,135750720,1,9,16259374
2020,4,135750746,1,11,16259382
2020,5,135750839,114.9,1,16259402
2020,5,135750839,1,9,16259404
2020,13,135750839,1,9,16259403
2020,5,126784193,4.8,1,14518985
2020,5,126789881,1,11,14519042
2020,12,126789931,0.01,3,14519052
2020,12,126789933,1,9,14519053
2020,12,126790018,99,5,14519081
2020,5,126790018,2,1,14519082
2020,12,126790278,0.034,1,14519192
2020,5,126790289,2.2,1,14519193
2020,12,126790292,2.7,1,14519195
2020,12,125764801,1,9,14210731
2020,5,126057387,1,1,14380619
2020,12,127788233,1,11,14683359
2020,5,127788234,22.1,1,14683360
2020,5,127788235,1,11,14683362
2020,5,127788239,12,1,14683363
2020,5,126286550,25.6,1,14431001
2020,5,126286550,1,11,14431002
2020,12,126286344,2.12,1,14430911
2020,12,127788290,1,11,14683369
2020,12,127788290,5.4,1,14683368
2020,12,127788296,3.202,1,14683371
2020,5,127788296,1,9,14683372
2020,12,127788324,1,11,14683377
2020,1,127788326,1.9,1,14683381
2020,5,127788326,45.5,1,14683380
2020,5,127788326,1,11,14683379
2020,12,127788330,1,11,14683387
2020,12,127788334,1,11,14683392
2020,5,127788335,1,11,14683393
2020,5,127788339,1,11,14683398
2020,5,126330989,15.5,1,14444059
2020,12,127788341,10.9,1,14683401
2020,12,127788341,1,11,14683402
2020,16,127788344,1,11,14683409
2020,12,127788344,41,1,14683408
2020,4,127788353,0,1,14683413
2020,7,127788353,4,9,14683414
2020,5,126334273,2,1,14444590
2020,5,126334397,1,11,14444618
2020,12,127788362,1,11,14683422
2020,4,127788362,1,11,14683423
2020,16,127788362,6,9,14683421
2020,16,127788376,1,9,14683428
2020,12,127788376,1.35,1,14683427
2020,5,127788376,3.79,1,14683429
2020,12,130899880,0.001,1,15222114
2020,12,127788380,1,1,14683430
2020,12,126057507,1,1,14380644
