data_year,weapon_id,offense_id,nibrs_weapon_id
2021,41,177257778,
2021,41,177257786,
2021,34,177257797,
2021,7,177257802,
2021,41,177257808,
2021,41,177257809,
2021,41,177257813,
2021,41,177257826,
2021,41,177257829,
2021,4,177257830,
2021,41,164371501,
2021,41,177257837,
2021,41,177257849,
2021,41,177257869,
2021,41,177257884,
2021,41,177257886,
2021,41,177257887,
2021,41,177257889,
2021,41,177257892,
2021,41,177257895,
2021,31,177257901,
2021,41,177257902,
2021,41,177257906,
2021,41,177257909,
2021,41,177257911,
2021,41,177257912,
2021,41,177257944,
2021,1,177257967,
2021,34,177258020,
2021,41,177187246,
2021,41,177258042,
2021,41,177258043,
2021,1,177258046,
2021,41,177258050,
2021,41,177258058,
2021,3,177258060,
2021,10,174942826,
2021,41,177258068,
2021,34,177258074,
2021,31,177258076,
2021,41,177258078,
2021,1,177258079,
2021,34,177258090,
2021,42,180032974,
2021,41,177258095,
2021,41,177258102,
2021,41,177258108,
2021,41,177258110,
2021,41,177258115,
2021,41,177258161,
2021,41,177258164,
2021,1,177258178,
2021,41,177258183,
2021,41,177258185,
2021,38,177258187,
2021,39,177258187,
2021,41,177258192,
2021,41,174151049,
2021,41,177258214,
2021,41,174054982,
2021,41,175176953,
2021,38,177258223,
2021,41,177258227,
2021,41,176288708,
2021,39,176288712,
2021,41,176580761,
2021,41,160480472,
2021,1,161092282,
2021,41,161092283,
2021,1,170508509,
2021,41,168103925,
2021,21,165362245,
2021,41,170399088,
2021,39,160751433,
2021,1,177257555,
2021,41,161558846,
2021,31,160045927,
2021,3,161646928,
2021,41,161092095,
2021,41,164327632,
2021,1,168931547,
2021,41,161636538,
2021,7,176891275,
2021,1,176891276,
2021,41,164273846,
2021,21,161633085,
2021,38,162800670,
2021,1,161630977,
2021,41,159832076,
2021,7,163221687,
2021,41,164498351,
2021,41,168012411,
2021,21,166440821,
2021,41,167989993,
2021,41,164583946,
2021,41,170603588,
2021,41,174495295,
2021,41,174138191,
2021,41,174138192,
2021,41,164206322,
2021,6,177278888,
