data_year,criminal_act_id,offense_id
2021,6,177257777
2021,6,161533770
2021,6,177257781
2021,8,177257797
2021,6,177257798
2021,6,177257799
2021,5,177257802
2021,6,177257806
2021,12,177257823
2021,6,177257827
2021,6,177257828
2021,6,177257830
2021,6,177257838
2021,6,177257845
2021,8,177257850
2021,7,177257852
2021,6,177257863
2021,6,177257880
2021,6,177257897
2021,6,177257898
2021,6,177257900
2021,6,177257907
2021,6,177257913
2021,6,177187242
2021,6,177187243
2021,6,180095678
2021,6,180095679
2021,6,177187244
2021,6,177257924
2021,6,177257940
2021,6,177257941
2021,6,177257947
2021,8,177257948
2021,8,177257967
2021,6,177187245
2021,6,177257975
2021,6,177257976
2021,6,177258002
2021,6,177258012
2021,6,177258017
2021,8,177258020
2021,6,177258023
2021,6,177258025
2021,6,177187247
2021,6,177258041
2021,6,177258044
2021,6,177258046
2021,6,177258060
2021,6,174942824
2021,6,174942825
2021,6,174942826
2021,6,177258071
2021,6,177258072
2021,8,177258074
2021,6,177187248
2021,6,177258087
2021,8,177258090
2021,6,177258096
2021,6,177258169
2021,6,177258170
2021,6,177258178
2021,6,177258180
2021,6,177258195
2021,6,177258196
2021,6,177258225
2021,6,177258226
2021,6,177258230
2021,6,177258231
2021,6,177258233
2021,6,161092282
2021,6,170508509
2021,6,159829759
2021,6,160000090
2021,6,160000089
2021,6,159904963
2021,6,161633084
2021,6,161633083
2021,6,160636210
2021,6,159860605
2021,6,161092284
2021,6,161092285
2021,6,172624743
2021,6,161633008
2021,6,172624744
2021,6,167324067
2021,6,160045927
2021,6,160045925
2021,6,160045926
2021,6,165505666
2021,6,165505667
2021,8,175952034
2021,6,162161996
2021,9,159832076
2021,6,163548719
2021,6,162161997
2021,6,161090542
2021,6,161090543
2021,6,161646928
2021,6,162405931
2021,6,161092098
2021,6,160649869
2021,6,160494494
2021,6,160494495
2021,6,174800561
2021,6,163221687
2021,6,165100953
2021,6,164320720
2021,6,164320721
2021,6,165100954
2021,6,165100955
2021,9,164498351
2021,9,168012411
2021,6,161022698
2021,2,163220803
2021,6,167719762
2021,6,165925235
2021,6,165925236
2021,6,163446680
2021,9,166440821
2021,9,166440822
2021,6,166440823
2021,6,161020711
2021,6,166673088
2021,6,166673089
2021,6,167378761
2021,6,167378762
2021,6,167669888
2021,6,167669889
2021,9,167989993
2021,6,170541570
2021,6,161260475
2021,9,169580720
2021,9,170603588
2021,9,170603589
2021,9,174495295
2021,6,171623582
2021,6,171623584
2021,5,176891275
2021,6,161421261
2021,6,174138189
2021,6,174138190
2021,6,161421262
2021,6,175403898
2021,9,174138191
2021,9,174138192
2021,6,174138193
2021,6,174138194
2021,6,177278887
2021,6,177278888
2021,6,161412334
2021,6,161412562
2021,8,160059171
2021,6,162275513
2021,6,161412566
2021,6,161421612
2021,9,180409087
2021,9,160059172
2021,6,170260625
2021,6,162560024
2021,9,173571228
2021,9,162560133
2021,9,166534467
2021,6,161640724
2021,6,161640725
2021,9,174072001
2021,8,160636944
2021,6,162800244
2021,6,168488098
2021,6,168488099
2021,6,161615728
2021,6,160865467
2021,6,160865468
2021,9,171623438
2021,6,160649636
2021,6,160649638
2021,6,160649637
2021,6,160745507
2021,9,165596186
2021,6,161615729
2021,6,163222571
2021,6,161952868
2021,6,172635457
2021,6,172635458
2021,9,161015019
2021,8,163083541
2021,9,170541758
2021,6,164299204
2021,6,164309442
2021,6,164309443
2021,8,161630977
2021,6,161952464
2021,6,161642329
2021,6,165138972
2021,6,165138973
2021,6,165138974
2021,2,166545968
2021,6,165138975
2021,6,166545969
2021,6,169490751
2021,6,161851646
2021,6,162161756
2021,6,161952097
2021,6,162156734
2021,9,165210259
2021,6,178317830
2021,9,165596188
2021,6,170508529
2021,6,164321589
2021,9,161605639
2021,9,173571229
2021,6,162161669
2021,6,164326779
2021,6,162277996
2021,6,161965251
2021,6,161965253
2021,9,162156375
2021,6,170541767
2021,6,163032602
2021,6,179615466
2021,6,179615467
2021,9,171451374
2021,9,163085168
2021,6,171623445
2021,6,171623446
2021,2,162560152
2021,6,179214194
2021,9,163080317
2021,9,173571230
2021,6,162562021
2021,6,164276513
2021,6,164314411
2021,8,164203782
2021,2,164321034
2021,6,175688940
2021,8,163228821
2021,6,163228822
2021,6,170541775
2021,9,166815589
2021,9,173571231
2021,6,165205761
2021,6,165205762
2021,9,173953223
2021,9,170541781
2021,6,170541782
2021,6,167717608
2021,6,167717609
2021,6,164093722
