data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,45268337,,51
2021,41008686,,51
2021,41952333,,52
2021,41155984,,51
2021,41904550,,51
2021,41904551,,51
2021,42347163,,51
2021,43680502,,51
2021,42153717,,51
2021,42347164,,51
2021,42196692,,51
2021,43076243,,51
2021,42546071,,51
2021,42546072,,51
2021,42691354,,51
2021,42939373,,51
2021,42995342,,51
2021,42995343,,51
2021,43072909,,51
2021,43680504,,51
2021,43447223,,51
2021,43695770,,51
2021,44627758,,51
2021,43948984,,51
2021,44538275,,51
2021,44538276,,51
2021,44538277,,51
2021,45271665,,51
2021,45268338,,51
2021,41425168,,51
2021,45268339,,51
2021,45268340,,51
2021,45268341,,51
2021,45268342,,51
2021,45268343,,51
2021,45268344,,51
2021,45268345,,51
2021,45268346,,51
2021,45268347,,51
2021,45268348,,51
2021,45268349,,51
2021,45268350,,51
2021,45268351,,51
2021,45268352,,51
2021,45268353,,51
2021,45268354,,51
2021,45268355,,51
2021,45268356,,51
2021,45268357,,51
2021,45268358,,51
2021,45268359,,51
2021,45268360,,51
2021,45268361,,51
2021,45268362,,51
2021,45268363,,51
2021,45246847,,51
2021,45955876,,51
2021,45955877,,51
2021,45955878,,51
2021,45268367,,51
2021,45268368,,51
2021,45268373,,51
2021,45268374,,51
2021,45268375,,51
2021,45268383,,51
2021,45268384,,51
2021,45268385,,51
2021,45268386,,51
2021,45268387,,51
2021,45246848,,51
2021,45268388,,51
2021,45268389,,51
2021,45268390,,51
2021,45268391,,51
2021,45268392,,3
2021,44727920,,51
2021,45268393,,51
2021,45268394,,51
2021,45940826,,51
2021,45268395,,51
2021,45268396,,51
2021,45268397,,51
2021,45268398,,51
2021,45268399,,51
2021,45268400,,51
2021,45268410,,51
2021,45268411,,51
2021,45268412,,51
2021,45268413,,51
2021,45268414,,51
2021,45268415,,51
2021,45268416,,51
2021,45268417,,51
2021,45268418,,51
2021,44541800,,51
2021,45268426,,51
2021,44523000,,1
2021,45268427,,51
2021,45268428,,51
2021,45268429,,51
2021,45030965,,51
2021,45030966,,51
2021,45031044,,51
2021,45268430,,51
2021,45030968,,51
2021,45268431,,51
2021,41152412,,51
2021,46042034,,51
2021,43614076,,51
2021,44408683,,51
2021,41717880,,51
2021,42717278,,51
2021,41464070,,51
2021,41464072,,51
2021,41464071,,51
2021,44527184,,51
2021,43191007,,51
2021,41250311,,51
2021,43948924,,51
2021,41186173,,51
2021,44181719,,51
2021,44181720,,51
2021,44181721,,51
2021,43680591,,51
2021,42358684,,51
2021,42358685,,51
2021,42358686,,51
2021,42377472,,51
2021,45517975,,51
2021,45517976,,51
2021,43695739,,51
2021,41459619,,51
2021,42123098,,51
2021,41543530,,51
2021,41906741,,51
2021,42367603,,51
2021,41603227,,51
2021,43650848,,51
2021,43680595,,51
2021,45826411,,51
2021,43901142,,51
2021,42336029,,51
2021,43948930,,51
2021,43948931,,51
2021,45723201,,51
2021,45723202,,51
2021,42500692,,51
2021,42248983,,51
2021,42123101,,51
2021,44902136,,51
2021,41902593,,51
2021,43680596,,51
2021,42375967,,51
2021,42375968,,51
2021,43680598,,51
2021,43008344,,51
2021,42145044,,51
2021,42790420,,51
2021,43450211,,51
2021,43309503,,51
2021,45821327,,51
2021,43296075,,51
2021,43695742,,51
2021,43129460,,51
2021,42155746,,51
2021,42309997,,51
2021,42156100,,51
2021,42347142,,51
2021,42218098,,51
2021,42218099,,51
2021,46042036,,51
2021,44902137,,51
2021,42678022,,51
2021,43680605,,51
2021,42472094,,51
2021,42468471,,51
2021,43680607,,51
2021,42790226,,51
2021,42790227,,51
2021,42674597,,51
2021,42891827,,51
2021,42891828,,51
2021,42913333,,51
2021,43230064,,51
2021,43230065,,51
2021,43156247,,51
2021,42674628,,51
2021,43424248,,51
2021,43309504,,51
2021,43309505,,51
2021,45723205,,51
2021,46042038,,51
2021,43680610,,51
2021,43680611,,51
2021,45267779,,51
2021,45839635,,51
2021,43901145,,51
2021,44902138,,51
2021,42702295,,51
2021,43901146,,51
2021,43901147,,51
2021,43156256,,51
2021,46042039,,7
2021,42754312,,51
2021,46042041,,51
2021,42754313,,51
2021,43156257,,51
2021,43815774,,51
2021,43815775,,51
2021,45723209,,51
2021,44902139,,51
2021,43680613,,51
2021,43647292,,51
2021,43011428,,51
2021,44181722,,51
2021,44181723,,51
2021,45091825,,51
2021,43768021,,51
2021,43680614,,51
2021,43614987,,51
2021,43948938,,51
2021,45723211,,51
2021,43417082,,51
2021,43072940,,51
2021,44408685,,51
2021,44408686,,51
2021,43680615,,51
2021,43211292,,51
2021,43901152,,52
2021,43309720,,51
2021,43230066,,51
2021,43680618,,51
2021,43588635,,51
2021,43588636,,51
2021,43680619,,51
2021,43901156,,51
2021,43271208,,51
2021,43407510,,51
2021,43413392,,51
2021,45723212,,51
2021,43411263,,51
2021,43901163,,51
2021,44958089,,51
2021,45723214,,51
2021,44408687,,51
2021,43569039,,51
2021,43614077,,51
2021,44627522,,51
2021,43787952,,51
2021,44408688,,51
2021,43901298,,51
2021,43901299,,51
2021,43901300,,51
2021,44902140,,51
2021,46042043,,51
2021,43901170,,51
2021,43768224,,51
2021,45517984,,51
2021,45517985,,51
2021,44902141,,7
2021,44902142,,51
2021,43794422,,51
2021,45723231,,51
2021,44902143,,51
2021,44055160,,51
2021,44801154,,51
2021,45821338,,51
2021,45091827,,51
2021,44902144,,51
2021,44637893,,51
2021,43948986,,51
2021,44527186,,51
2021,45091829,,51
2021,45723238,,51
2021,45966064,,51
2021,44694895,,51
2021,44902146,,51
2021,45952885,,51
2021,45265073,,51
2021,44902147,,51
2021,44902148,,51
2021,44429196,,51
2021,44958020,,51
2021,44408702,,51
2021,44300331,,51
2021,44527187,,51
2021,44429197,,51
2021,44405638,,51
2021,45509868,,51
2021,44902150,,51
2021,44958021,,51
2021,44902151,,51
2021,44627556,,51
2021,45091835,,51
2021,44429198,,51
2021,44902152,,51
2021,44958027,,51
2021,44902153,,51
2021,44902154,,51
2021,46042046,,51
2021,44627761,,51
2021,44958028,,51
2021,44958029,,51
2021,44902156,,51
2021,44902157,,51
2021,44902643,,51
2021,44902644,,51
