data_year,victim_id,injury_id
2021,162976322,4
2021,162976330,4
2021,162976352,5
2021,162976353,4
2021,162976357,4
2021,162976370,5
2021,162976372,5
2021,150115765,5
2021,162976380,4
2021,162976381,4
2021,162976393,4
2021,162976413,4
2021,162976428,4
2021,162976430,5
2021,162976431,5
2021,162976433,4
2021,162976436,5
2021,162976440,5
2021,162976445,4
2021,162976446,4
2021,162976450,4
2021,162976453,5
2021,162976455,5
2021,162976456,5
2021,162976488,5
2021,162907406,4
2021,162976591,4
2021,162976592,4
2021,162976599,5
2021,162976607,5
2021,162976617,4
2021,162976624,6
2021,162976626,5
2021,162976627,5
2021,165731153,5
2021,162976643,4
2021,162976650,4
2021,162976655,5
2021,162976656,4
2021,162976657,5
2021,162976659,4
2021,162976664,4
2021,162976710,4
2021,162976713,4
2021,162976732,6
2021,162976734,4
2021,162976736,4
2021,162976741,4
2021,162976742,5
2021,159870564,4
2021,162976761,4
2021,159775550,3
2021,160895202,4
2021,162976770,4
2021,162976774,4
2021,162004280,4
2021,162004285,4
2021,162004286,4
2021,162299505,4
2021,146345095,4
2021,146345096,4
2021,145670119,4
2021,146954892,4
2021,153842351,5
2021,151104609,4
2021,150241996,4
2021,153751330,4
2021,156133289,4
2021,146611064,5
2021,152184097,5
2021,162976110,5
2021,153729089,4
2021,147415053,4
2021,156339050,5
2021,156339051,4
2021,146954712,5
2021,160215810,4
2021,159857569,4
2021,159857570,4
2021,159857571,4
2021,166097675,4
2021,145913011,4
2021,159288313,5
2021,148435351,5
2021,152277491,5
2021,150073133,4
2021,159792773,5
2021,157359014,5
2021,151340791,4
2021,154666521,5
2021,146877756,4
2021,156276802,3
2021,147481102,4
2021,150958308,5
2021,151340793,5
2021,147460431,5
2021,159288314,4
2021,147481103,4
2021,162606974,5
2021,150018666,4
2021,148040824,5
2021,150018667,4
2021,147484751,4
2021,148679214,4
2021,157187479,5
2021,148946841,5
2021,150326736,4
2021,148950185,5
2021,159288315,5
2021,152555337,4
2021,159288316,5
2021,159675302,5
2021,156276829,4
2021,152553881,5
2021,152553882,4
2021,150004421,5
2021,154712511,4
2021,165306545,4
2021,154665450,4
2021,153981753,4
2021,150072460,5
2021,150327417,5
2021,150073632,4
2021,160214831,4
2021,166097681,5
2021,150886452,4
2021,150886453,4
2021,161406378,4
2021,152135694,1
2021,156276851,5
2021,151357422,5
2021,151343923,5
2021,151340981,5
2021,152122839,4
2021,152122840,4
2021,152122841,4
2021,151673752,5
2021,152122932,5
2021,152173813,5
2021,154099412,5
2021,152122934,5
2021,152034990,5
2021,156276877,4
2021,156276878,4
2021,162974563,3
2021,150326737,4
2021,149949923,5
2021,157187482,5
2021,151249247,6
2021,157187483,5
2021,157187484,5
2021,154099444,5
2021,152414019,4
2021,159288321,5
2021,159288322,5
2021,152414022,5
2021,152414023,5
2021,152414024,5
2021,150044239,4
2021,156276883,5
2021,156276884,5
2021,156126706,4
2021,164823970,4
2021,156652883,5
2021,156276889,4
2021,161406383,4
2021,157359030,4
2021,164931463,5
2021,164823971,4
2021,150021831,5
2021,153781970,4
2021,159288325,5
2021,159288326,5
2021,159288327,5
2021,159288328,5
2021,154489526,4
2021,164931464,5
2021,159288330,5
2021,159288331,4
2021,159288332,4
2021,159288333,5
2021,159288334,5
2021,159288335,5
2021,155149186,4
2021,155149187,4
2021,150195617,5
2021,155171053,4
2021,155163566,4
2021,155163567,4
2021,155163568,4
2021,155163569,4
2021,150195618,5
2021,150044453,5
2021,150044454,5
2021,150243232,5
2021,161630993,4
2021,164035842,4
2021,150478784,4
2021,157187528,5
2021,156243470,5
2021,159288340,5
2021,159288341,5
2021,155995985,4
2021,160214873,4
2021,156126709,4
2021,149949952,4
2021,150044245,4
2021,149949954,4
2021,157187972,5
2021,157187973,5
2021,150326738,4
2021,157187974,4
2021,157187976,4
2021,157187977,4
2021,157187978,4
2021,157187979,4
2021,163950535,4
2021,157187542,4
2021,150115351,4
2021,157187983,5
2021,150195273,5
2021,150579132,5
2021,156278192,4
2021,150193978,5
2021,161406386,5
2021,161406387,5
2021,161406388,5
2021,157819976,5
2021,161406390,4
2021,156243514,5
2021,160967919,5
2021,157819980,5
2021,157819981,5
2021,156243515,5
2021,162265390,4
2021,162265391,4
2021,161406391,4
2021,161406392,4
2021,156243516,5
2021,150240877,5
2021,157359168,4
2021,159792775,4
2021,164931623,4
2021,164931624,4
2021,164931625,4
2021,161406397,4
2021,165783171,4
2021,154817963,4
2021,159377971,5
2021,159377972,5
2021,164931654,5
2021,160214957,5
2021,160214958,5
2021,160214977,5
2021,161406400,5
2021,161406401,4
2021,161406402,4
2021,160214997,5
2021,159377834,4
2021,152185170,5
2021,159782100,5
2021,161630201,4
2021,150697940,4
2021,160215817,1
2021,150800118,5
2021,153730957,5
2021,161408161,4
2021,161408164,5
2021,161408166,4
2021,150800119,4
2021,150800120,4
2021,152559549,5
2021,161408169,4
2021,150801071,5
2021,152559550,4
2021,152559551,5
2021,145996071,5
2021,145996067,5
2021,145996065,5
2021,145996069,5
2021,145996070,5
2021,145996066,5
2021,145996068,5
2021,145996083,4
2021,145996090,4
2021,146952436,5
2021,146955235,5
2021,146955238,4
2021,146955237,4
2021,146955239,5
2021,151722584,5
2021,146955242,4
2021,146955243,5
2021,146955245,4
2021,146955247,5
2021,154817772,4
2021,151104362,4
2021,151957843,5
2021,148153339,4
2021,155226932,4
2021,148949233,5
2021,150004433,5
2021,148949235,1
2021,150017185,5
2021,150021836,4
2021,150021837,5
2021,150021838,4
2021,150017245,4
2021,150197828,5
2021,150197840,5
2021,150326858,2
2021,151673755,5
2021,151673756,5
2021,151673760,3
2021,151673764,4
2021,151957779,5
2021,154667342,5
2021,151957782,4
2021,151957783,4
2021,151957784,4
2021,152134463,5
2021,152415512,4
2021,152415513,4
2021,152134472,4
